SRC_middle Query: Medium,Depth,# Hops,BBoxes,Data Size
"[4, 23, 10, 29]",3,3,"[4, 16, 12, 32]",128
"[0, 25, 6, 31]",4,4,"[0, 24, 8, 32]",64
"[14, 13, 20, 19]",4,4,"[12, 12, 20, 20]",64
"[21, 13, 27, 19]",4,4,"[20, 12, 28, 20]",64
"[0, 15, 6, 21]",3,3,"[0, 8, 8, 24]",128
"[10, 23, 16, 29]",3,3,"[8, 16, 16, 32]",128
"[8, 2, 14, 8]",4,4,"[8, 0, 16, 8]",64
"[11, 2, 17, 8]",2,2,"[8, 0, 24, 16]",256
"[3, 11, 9, 17]",2,2,"[0, 8, 16, 24]",256
"[22, 0, 28, 6]",4,4,"[20, 0, 28, 8]",64
"[11, 11, 17, 17]",2,2,"[8, 8, 24, 24]",256
"[5, 0, 11, 6]",4,4,"[4, 0, 12, 8]",64
"[26, 7, 32, 13]",3,3,"[24, 0, 32, 16]",128
"[26, 11, 32, 17]",3,3,"[24, 8, 32, 24]",128
"[2, 19, 8, 25]",3,3,"[0, 16, 8, 32]",128
"[4, 6, 10, 12]",4,4,"[4, 4, 12, 12]",64
"[0, 6, 6, 12]",4,4,"[0, 4, 8, 12]",64
"[21, 21, 27, 27]",4,4,"[20, 20, 28, 28]",64
"[23, 3, 29, 9]",2,2,"[16, 0, 32, 16]",256
"[23, 0, 29, 6]",2,2,"[16, 0, 32, 16]",256
"[9, 11, 15, 17]",3,3,"[8, 8, 16, 24]",128
"[22, 0, 28, 6]",4,4,"[20, 0, 28, 8]",64
"[19, 7, 25, 13]",2,2,"[16, 0, 32, 16]",256
"[4, 5, 10, 11]",4,4,"[4, 4, 12, 12]",64
"[14, 3, 20, 9]",3,3,"[12, 0, 20, 16]",128
"[15, 11, 21, 17]",2,2,"[8, 8, 24, 24]",256
"[22, 8, 28, 14]",4,4,"[20, 8, 28, 16]",64
"[4, 0, 10, 6]",4,4,"[4, 0, 12, 8]",64
"[6, 11, 12, 17]",3,3,"[4, 8, 12, 24]",128
"[10, 15, 16, 21]",3,3,"[8, 8, 16, 24]",128
"[9, 9, 15, 15]",4,4,"[8, 8, 16, 16]",64
"[17, 20, 23, 26]",4,4,"[16, 20, 24, 28]",64
"[10, 5, 16, 11]",4,4,"[8, 4, 16, 12]",64
"[18, 2, 24, 8]",4,4,"[16, 0, 24, 8]",64
"[3, 17, 9, 23]",2,2,"[0, 8, 16, 24]",256
"[18, 9, 24, 15]",4,4,"[16, 8, 24, 16]",64
"[5, 12, 11, 18]",4,4,"[4, 12, 12, 20]",64
"[4, 4, 10, 10]",4,4,"[4, 4, 12, 12]",64
"[25, 7, 31, 13]",3,3,"[24, 0, 32, 16]",128
"[10, 16, 16, 22]",4,4,"[8, 16, 16, 24]",64
"[7, 7, 13, 13]",2,2,"[0, 0, 16, 16]",256
"[24, 5, 30, 11]",4,4,"[24, 4, 32, 12]",64
"[9, 11, 15, 17]",3,3,"[8, 8, 16, 24]",128
"[13, 21, 19, 27]",4,4,"[12, 20, 20, 28]",64
"[1, 4, 7, 10]",4,4,"[0, 4, 8, 12]",64
"[19, 0, 25, 6]",2,2,"[16, 0, 32, 16]",256
"[12, 2, 18, 8]",4,4,"[12, 0, 20, 8]",64
"[22, 2, 28, 8]",4,4,"[20, 0, 28, 8]",64
"[4, 13, 10, 19]",4,4,"[4, 12, 12, 20]",64
"[9, 17, 15, 23]",4,4,"[8, 16, 16, 24]",64
"[13, 23, 19, 29]",3,3,"[12, 16, 20, 32]",128
"[4, 18, 10, 24]",4,4,"[4, 16, 12, 24]",64
"[13, 9, 19, 15]",4,4,"[12, 8, 20, 16]",64
"[20, 11, 26, 17]",3,3,"[20, 8, 28, 24]",128
"[2, 7, 8, 13]",3,3,"[0, 0, 8, 16]",128
"[14, 20, 20, 26]",4,4,"[12, 20, 20, 28]",64
"[11, 20, 17, 26]",2,2,"[8, 16, 24, 32]",256
"[16, 1, 22, 7]",4,4,"[16, 0, 24, 8]",64
"[12, 13, 18, 19]",4,4,"[12, 12, 20, 20]",64
"[0, 13, 6, 19]",4,4,"[0, 12, 8, 20]",64
"[23, 10, 29, 16]",2,2,"[16, 8, 32, 24]",256
"[14, 6, 20, 12]",4,4,"[12, 4, 20, 12]",64
"[11, 9, 17, 15]",2,2,"[8, 8, 24, 24]",256
"[15, 2, 21, 8]",2,2,"[8, 0, 24, 16]",256
"[5, 25, 11, 31]",4,4,"[4, 24, 12, 32]",64
"[3, 8, 9, 14]",2,2,"[0, 8, 16, 24]",256
"[3, 17, 9, 23]",2,2,"[0, 8, 16, 24]",256
"[19, 22, 25, 28]",2,2,"[16, 16, 32, 32]",256
"[4, 25, 10, 31]",4,4,"[4, 24, 12, 32]",64
"[22, 14, 28, 20]",4,4,"[20, 12, 28, 20]",64
"[12, 5, 18, 11]",4,4,"[12, 4, 20, 12]",64
"[24, 13, 30, 19]",4,4,"[24, 12, 32, 20]",64
"[13, 5, 19, 11]",4,4,"[12, 4, 20, 12]",64
"[7, 14, 13, 20]",2,2,"[0, 8, 16, 24]",256
"[10, 16, 16, 22]",4,4,"[8, 16, 16, 24]",64
"[4, 11, 10, 17]",3,3,"[4, 8, 12, 24]",128
"[14, 20, 20, 26]",4,4,"[12, 20, 20, 28]",64
"[20, 2, 26, 8]",4,4,"[20, 0, 28, 8]",64
"[15, 24, 21, 30]",2,2,"[8, 16, 24, 32]",256
"[6, 9, 12, 15]",4,4,"[4, 8, 12, 16]",64
"[0, 26, 6, 32]",4,4,"[0, 24, 8, 32]",64
"[22, 14, 28, 20]",4,4,"[20, 12, 28, 20]",64
"[19, 14, 25, 20]",2,2,"[16, 8, 32, 24]",256
"[0, 6, 6, 12]",4,4,"[0, 4, 8, 12]",64
"[9, 3, 15, 9]",3,3,"[8, 0, 16, 16]",128
"[24, 20, 30, 26]",4,4,"[24, 20, 32, 28]",64
"[9, 17, 15, 23]",4,4,"[8, 16, 16, 24]",64
"[19, 4, 25, 10]",2,2,"[16, 0, 32, 16]",256
"[13, 22, 19, 28]",4,4,"[12, 20, 20, 28]",64
"[24, 15, 30, 21]",3,3,"[24, 8, 32, 24]",128
"[2, 21, 8, 27]",4,4,"[0, 20, 8, 28]",64
"[15, 24, 21, 30]",2,2,"[8, 16, 24, 32]",256
"[7, 17, 13, 23]",2,2,"[0, 8, 16, 24]",256
"[24, 12, 30, 18]",4,4,"[24, 12, 32, 20]",64
"[8, 20, 14, 26]",4,4,"[8, 20, 16, 28]",64
"[0, 3, 6, 9]",3,3,"[0, 0, 8, 16]",128
"[8, 21, 14, 27]",4,4,"[8, 20, 16, 28]",64
"[1, 0, 7, 6]",4,4,"[0, 0, 8, 8]",64
"[8, 12, 14, 18]",4,4,"[8, 12, 16, 20]",64
"[16, 18, 22, 24]",4,4,"[16, 16, 24, 24]",64
"[22, 12, 28, 18]",4,4,"[20, 12, 28, 20]",64
"[14, 3, 20, 9]",3,3,"[12, 0, 20, 16]",128
"[23, 8, 29, 14]",2,2,"[16, 8, 32, 24]",256
"[11, 9, 17, 15]",2,2,"[8, 8, 24, 24]",256
"[24, 21, 30, 27]",4,4,"[24, 20, 32, 28]",64
"[6, 19, 12, 25]",3,3,"[4, 16, 12, 32]",128
"[2, 1, 8, 7]",4,4,"[0, 0, 8, 8]",64
"[2, 25, 8, 31]",4,4,"[0, 24, 8, 32]",64
"[8, 9, 14, 15]",4,4,"[8, 8, 16, 16]",64
"[17, 10, 23, 16]",4,4,"[16, 8, 24, 16]",64
"[3, 16, 9, 22]",2,2,"[0, 8, 16, 24]",256
"[7, 24, 13, 30]",2,2,"[0, 16, 16, 32]",256
"[5, 2, 11, 8]",4,4,"[4, 0, 12, 8]",64
"[13, 9, 19, 15]",4,4,"[12, 8, 20, 16]",64
"[9, 16, 15, 22]",4,4,"[8, 16, 16, 24]",64
"[4, 18, 10, 24]",4,4,"[4, 16, 12, 24]",64
"[16, 20, 22, 26]",4,4,"[16, 20, 24, 28]",64
"[6, 17, 12, 23]",4,4,"[4, 16, 12, 24]",64
"[3, 13, 9, 19]",2,2,"[0, 8, 16, 24]",256
"[20, 17, 26, 23]",4,4,"[20, 16, 28, 24]",64
"[12, 23, 18, 29]",3,3,"[12, 16, 20, 32]",128
"[24, 25, 30, 31]",4,4,"[24, 24, 32, 32]",64
"[8, 9, 14, 15]",4,4,"[8, 8, 16, 16]",64
"[14, 11, 20, 17]",3,3,"[12, 8, 20, 24]",128
"[18, 20, 24, 26]",4,4,"[16, 20, 24, 28]",64
"[4, 5, 10, 11]",4,4,"[4, 4, 12, 12]",64
"[3, 22, 9, 28]",2,2,"[0, 16, 16, 32]",256
"[3, 12, 9, 18]",2,2,"[0, 8, 16, 24]",256
"[12, 18, 18, 24]",4,4,"[12, 16, 20, 24]",64
"[14, 4, 20, 10]",4,4,"[12, 4, 20, 12]",64
"[17, 21, 23, 27]",4,4,"[16, 20, 24, 28]",64
"[9, 11, 15, 17]",3,3,"[8, 8, 16, 24]",128
"[20, 15, 26, 21]",3,3,"[20, 8, 28, 24]",128
"[23, 13, 29, 19]",2,2,"[16, 8, 32, 24]",256
"[6, 15, 12, 21]",3,3,"[4, 8, 12, 24]",128
"[15, 22, 21, 28]",2,2,"[8, 16, 24, 32]",256
"[16, 10, 22, 16]",4,4,"[16, 8, 24, 16]",64
"[15, 20, 21, 26]",2,2,"[8, 16, 24, 32]",256
"[1, 14, 7, 20]",4,4,"[0, 12, 8, 20]",64
"[9, 4, 15, 10]",4,4,"[8, 4, 16, 12]",64
"[23, 15, 29, 21]",2,2,"[16, 8, 32, 24]",256
"[1, 19, 7, 25]",3,3,"[0, 16, 8, 32]",128
"[6, 0, 12, 6]",4,4,"[4, 0, 12, 8]",64
"[11, 15, 17, 21]",2,2,"[8, 8, 24, 24]",256
"[12, 0, 18, 6]",4,4,"[12, 0, 20, 8]",64
"[16, 2, 22, 8]",4,4,"[16, 0, 24, 8]",64
"[21, 2, 27, 8]",4,4,"[20, 0, 28, 8]",64
"[21, 23, 27, 29]",3,3,"[20, 16, 28, 32]",128
"[21, 12, 27, 18]",4,4,"[20, 12, 28, 20]",64
"[0, 11, 6, 17]",3,3,"[0, 8, 8, 24]",128
"[1, 3, 7, 9]",3,3,"[0, 0, 8, 16]",128
"[19, 0, 25, 6]",2,2,"[16, 0, 32, 16]",256
"[8, 20, 14, 26]",4,4,"[8, 20, 16, 28]",64
"[22, 9, 28, 15]",4,4,"[20, 8, 28, 16]",64
"[23, 7, 29, 13]",2,2,"[16, 0, 32, 16]",256
"[4, 24, 10, 30]",4,4,"[4, 24, 12, 32]",64
"[18, 9, 24, 15]",4,4,"[16, 8, 24, 16]",64
"[6, 3, 12, 9]",3,3,"[4, 0, 12, 16]",128
"[13, 14, 19, 20]",4,4,"[12, 12, 20, 20]",64
"[22, 10, 28, 16]",4,4,"[20, 8, 28, 16]",64
"[12, 5, 18, 11]",4,4,"[12, 4, 20, 12]",64
"[10, 13, 16, 19]",4,4,"[8, 12, 16, 20]",64
"[20, 21, 26, 27]",4,4,"[20, 20, 28, 28]",64
"[13, 4, 19, 10]",4,4,"[12, 4, 20, 12]",64
"[14, 22, 20, 28]",4,4,"[12, 20, 20, 28]",64
"[4, 16, 10, 22]",4,4,"[4, 16, 12, 24]",64
"[10, 4, 16, 10]",4,4,"[8, 4, 16, 12]",64
"[6, 5, 12, 11]",4,4,"[4, 4, 12, 12]",64
"[14, 11, 20, 17]",3,3,"[12, 8, 20, 24]",128
"[25, 12, 31, 18]",4,4,"[24, 12, 32, 20]",64
"[13, 25, 19, 31]",4,4,"[12, 24, 20, 32]",64
"[15, 12, 21, 18]",2,2,"[8, 8, 24, 24]",256
"[23, 7, 29, 13]",2,2,"[16, 0, 32, 16]",256
"[25, 6, 31, 12]",4,4,"[24, 4, 32, 12]",64
"[14, 6, 20, 12]",4,4,"[12, 4, 20, 12]",64
"[18, 22, 24, 28]",4,4,"[16, 20, 24, 28]",64
"[1, 12, 7, 18]",4,4,"[0, 12, 8, 20]",64
"[1, 7, 7, 13]",3,3,"[0, 0, 8, 16]",128
"[20, 2, 26, 8]",4,4,"[20, 0, 28, 8]",64
"[5, 11, 11, 17]",3,3,"[4, 8, 12, 24]",128
"[1, 23, 7, 29]",3,3,"[0, 16, 8, 32]",128
"[20, 21, 26, 27]",4,4,"[20, 20, 28, 28]",64
"[5, 7, 11, 13]",3,3,"[4, 0, 12, 16]",128
"[19, 9, 25, 15]",2,2,"[16, 8, 32, 24]",256
"[19, 2, 25, 8]",2,2,"[16, 0, 32, 16]",256
"[22, 16, 28, 22]",4,4,"[20, 16, 28, 24]",64
"[24, 9, 30, 15]",4,4,"[24, 8, 32, 16]",64
"[24, 11, 30, 17]",3,3,"[24, 8, 32, 24]",128
"[13, 14, 19, 20]",4,4,"[12, 12, 20, 20]",64
"[1, 20, 7, 26]",4,4,"[0, 20, 8, 28]",64
"[22, 16, 28, 22]",4,4,"[20, 16, 28, 24]",64
"[21, 20, 27, 26]",4,4,"[20, 20, 28, 28]",64
"[17, 23, 23, 29]",3,3,"[16, 16, 24, 32]",128
"[13, 18, 19, 24]",4,4,"[12, 16, 20, 24]",64
"[14, 15, 20, 21]",3,3,"[12, 8, 20, 24]",128
"[8, 22, 14, 28]",4,4,"[8, 20, 16, 28]",64
"[15, 6, 21, 12]",2,2,"[8, 0, 24, 16]",256
"[10, 8, 16, 14]",4,4,"[8, 8, 16, 16]",64
"[1, 1, 7, 7]",4,4,"[0, 0, 8, 8]",64
"[1, 5, 7, 11]",4,4,"[0, 4, 8, 12]",64
"[11, 0, 17, 6]",2,2,"[8, 0, 24, 16]",256
"[9, 20, 15, 26]",4,4,"[8, 20, 16, 28]",64
"[0, 4, 6, 10]",4,4,"[0, 4, 8, 12]",64
"[2, 25, 8, 31]",4,4,"[0, 24, 8, 32]",64
"[13, 21, 19, 27]",4,4,"[12, 20, 20, 28]",64
"[7, 19, 13, 25]",2,2,"[0, 16, 16, 32]",256
"[12, 17, 18, 23]",4,4,"[12, 16, 20, 24]",64
"[7, 14, 13, 20]",2,2,"[0, 8, 16, 24]",256
"[6, 10, 12, 16]",4,4,"[4, 8, 12, 16]",64
"[19, 3, 25, 9]",2,2,"[16, 0, 32, 16]",256
"[19, 2, 25, 8]",2,2,"[16, 0, 32, 16]",256
"[25, 10, 31, 16]",4,4,"[24, 8, 32, 16]",64
"[10, 17, 16, 23]",4,4,"[8, 16, 16, 24]",64
"[14, 10, 20, 16]",4,4,"[12, 8, 20, 16]",64
"[8, 0, 14, 6]",4,4,"[8, 0, 16, 8]",64
"[16, 1, 22, 7]",4,4,"[16, 0, 24, 8]",64
"[6, 11, 12, 17]",3,3,"[4, 8, 12, 24]",128
"[2, 6, 8, 12]",4,4,"[0, 4, 8, 12]",64
"[16, 11, 22, 17]",3,3,"[16, 8, 24, 24]",128
"[6, 26, 12, 32]",4,4,"[4, 24, 12, 32]",64
"[6, 8, 12, 14]",4,4,"[4, 8, 12, 16]",64
"[21, 23, 27, 29]",3,3,"[20, 16, 28, 32]",128
"[23, 9, 29, 15]",2,2,"[16, 8, 32, 24]",256
"[9, 16, 15, 22]",4,4,"[8, 16, 16, 24]",64
"[12, 8, 18, 14]",4,4,"[12, 8, 20, 16]",64
"[15, 11, 21, 17]",2,2,"[8, 8, 24, 24]",256
"[22, 7, 28, 13]",3,3,"[20, 0, 28, 16]",128
"[1, 9, 7, 15]",4,4,"[0, 8, 8, 16]",64
"[17, 2, 23, 8]",4,4,"[16, 0, 24, 8]",64
"[0, 14, 6, 20]",4,4,"[0, 12, 8, 20]",64
"[15, 23, 21, 29]",2,2,"[8, 16, 24, 32]",256
"[14, 1, 20, 7]",4,4,"[12, 0, 20, 8]",64
"[25, 13, 31, 19]",4,4,"[24, 12, 32, 20]",64
"[15, 14, 21, 20]",2,2,"[8, 8, 24, 24]",256
"[14, 3, 20, 9]",3,3,"[12, 0, 20, 16]",128
"[2, 2, 8, 8]",4,4,"[0, 0, 8, 8]",64
"[7, 3, 13, 9]",2,2,"[0, 0, 16, 16]",256
"[26, 24, 32, 30]",4,4,"[24, 24, 32, 32]",64
"[4, 13, 10, 19]",4,4,"[4, 12, 12, 20]",64
"[6, 14, 12, 20]",4,4,"[4, 12, 12, 20]",64
"[19, 2, 25, 8]",2,2,"[16, 0, 32, 16]",256
"[26, 13, 32, 19]",4,4,"[24, 12, 32, 20]",64
"[17, 24, 23, 30]",4,4,"[16, 24, 24, 32]",64
"[26, 12, 32, 18]",4,4,"[24, 12, 32, 20]",64
"[1, 5, 7, 11]",4,4,"[0, 4, 8, 12]",64
"[7, 15, 13, 21]",2,2,"[0, 8, 16, 24]",256
"[7, 4, 13, 10]",2,2,"[0, 0, 16, 16]",256
"[26, 8, 32, 14]",4,4,"[24, 8, 32, 16]",64
"[11, 10, 17, 16]",2,2,"[8, 8, 24, 24]",256
"[13, 3, 19, 9]",3,3,"[12, 0, 20, 16]",128
"[17, 9, 23, 15]",4,4,"[16, 8, 24, 16]",64
"[19, 17, 25, 23]",2,2,"[16, 8, 32, 24]",256
"[25, 6, 31, 12]",4,4,"[24, 4, 32, 12]",64
"[22, 9, 28, 15]",4,4,"[20, 8, 28, 16]",64
"[24, 14, 30, 20]",4,4,"[24, 12, 32, 20]",64
"[16, 19, 22, 25]",3,3,"[16, 16, 24, 32]",128
"[14, 17, 20, 23]",4,4,"[12, 16, 20, 24]",64
"[20, 8, 26, 14]",4,4,"[20, 8, 28, 16]",64
"[8, 7, 14, 13]",3,3,"[8, 0, 16, 16]",128
"[0, 3, 6, 9]",3,3,"[0, 0, 8, 16]",128
"[19, 25, 25, 31]",2,2,"[16, 16, 32, 32]",256
"[22, 3, 28, 9]",3,3,"[20, 0, 28, 16]",128
"[5, 23, 11, 29]",3,3,"[4, 16, 12, 32]",128
"[13, 7, 19, 13]",3,3,"[12, 0, 20, 16]",128
"[6, 9, 12, 15]",4,4,"[4, 8, 12, 16]",64
"[23, 21, 29, 27]",2,2,"[16, 16, 32, 32]",256
"[0, 23, 6, 29]",3,3,"[0, 16, 8, 32]",128
"[17, 16, 23, 22]",4,4,"[16, 16, 24, 24]",64
"[13, 1, 19, 7]",4,4,"[12, 0, 20, 8]",64
"[3, 12, 9, 18]",2,2,"[0, 8, 16, 24]",256
"[20, 8, 26, 14]",4,4,"[20, 8, 28, 16]",64
"[3, 23, 9, 29]",2,2,"[0, 16, 16, 32]",256
"[18, 11, 24, 17]",3,3,"[16, 8, 24, 24]",128
"[7, 21, 13, 27]",2,2,"[0, 16, 16, 32]",256
"[22, 22, 28, 28]",4,4,"[20, 20, 28, 28]",64
"[17, 21, 23, 27]",4,4,"[16, 20, 24, 28]",64
"[9, 7, 15, 13]",3,3,"[8, 0, 16, 16]",128
"[23, 26, 29, 32]",2,2,"[16, 16, 32, 32]",256
"[7, 2, 13, 8]",2,2,"[0, 0, 16, 16]",256
"[16, 9, 22, 15]",4,4,"[16, 8, 24, 16]",64
"[21, 10, 27, 16]",4,4,"[20, 8, 28, 16]",64
"[7, 11, 13, 17]",2,2,"[0, 8, 16, 24]",256
"[20, 15, 26, 21]",3,3,"[20, 8, 28, 24]",128
"[9, 18, 15, 24]",4,4,"[8, 16, 16, 24]",64
"[5, 4, 11, 10]",4,4,"[4, 4, 12, 12]",64
"[25, 0, 31, 6]",4,4,"[24, 0, 32, 8]",64
"[17, 16, 23, 22]",4,4,"[16, 16, 24, 24]",64
"[10, 11, 16, 17]",3,3,"[8, 8, 16, 24]",128
"[18, 20, 24, 26]",4,4,"[16, 20, 24, 28]",64
"[0, 25, 6, 31]",4,4,"[0, 24, 8, 32]",64
"[4, 12, 10, 18]",4,4,"[4, 12, 12, 20]",64
"[4, 5, 10, 11]",4,4,"[4, 4, 12, 12]",64
"[16, 2, 22, 8]",4,4,"[16, 0, 24, 8]",64
"[4, 24, 10, 30]",4,4,"[4, 24, 12, 32]",64
"[6, 25, 12, 31]",4,4,"[4, 24, 12, 32]",64
"[24, 15, 30, 21]",3,3,"[24, 8, 32, 24]",128
"[18, 24, 24, 30]",4,4,"[16, 24, 24, 32]",64
"[22, 6, 28, 12]",4,4,"[20, 4, 28, 12]",64
"[7, 23, 13, 29]",2,2,"[0, 16, 16, 32]",256
"[4, 26, 10, 32]",4,4,"[4, 24, 12, 32]",64
"[7, 24, 13, 30]",2,2,"[0, 16, 16, 32]",256
"[12, 11, 18, 17]",3,3,"[12, 8, 20, 24]",128
"[19, 18, 25, 24]",2,2,"[16, 8, 32, 24]",256
"[4, 20, 10, 26]",4,4,"[4, 20, 12, 28]",64
"[15, 3, 21, 9]",2,2,"[8, 0, 24, 16]",256
"[19, 26, 25, 32]",2,2,"[16, 16, 32, 32]",256
"[0, 16, 6, 22]",4,4,"[0, 16, 8, 24]",64
"[19, 11, 25, 17]",2,2,"[16, 8, 32, 24]",256
"[15, 14, 21, 20]",2,2,"[8, 8, 24, 24]",256
"[9, 0, 15, 6]",4,4,"[8, 0, 16, 8]",64
"[7, 17, 13, 23]",2,2,"[0, 8, 16, 24]",256
"[20, 5, 26, 11]",4,4,"[20, 4, 28, 12]",64
"[21, 15, 27, 21]",3,3,"[20, 8, 28, 24]",128
"[25, 23, 31, 29]",3,3,"[24, 16, 32, 32]",128
"[15, 17, 21, 23]",2,2,"[8, 8, 24, 24]",256
"[10, 22, 16, 28]",4,4,"[8, 20, 16, 28]",64
"[2, 8, 8, 14]",4,4,"[0, 8, 8, 16]",64
"[4, 19, 10, 25]",3,3,"[4, 16, 12, 32]",128
"[12, 22, 18, 28]",4,4,"[12, 20, 20, 28]",64
"[6, 26, 12, 32]",4,4,"[4, 24, 12, 32]",64
"[10, 25, 16, 31]",4,4,"[8, 24, 16, 32]",64
"[9, 12, 15, 18]",4,4,"[8, 12, 16, 20]",64
"[1, 6, 7, 12]",4,4,"[0, 4, 8, 12]",64
"[1, 10, 7, 16]",4,4,"[0, 8, 8, 16]",64
"[23, 23, 29, 29]",2,2,"[16, 16, 32, 32]",256
"[7, 10, 13, 16]",2,2,"[0, 8, 16, 24]",256
"[14, 21, 20, 27]",4,4,"[12, 20, 20, 28]",64
"[23, 21, 29, 27]",2,2,"[16, 16, 32, 32]",256
"[21, 7, 27, 13]",3,3,"[20, 0, 28, 16]",128
"[8, 11, 14, 17]",3,3,"[8, 8, 16, 24]",128
"[21, 5, 27, 11]",4,4,"[20, 4, 28, 12]",64
"[9, 0, 15, 6]",4,4,"[8, 0, 16, 8]",64
"[11, 18, 17, 24]",2,2,"[8, 8, 24, 24]",256
"[17, 1, 23, 7]",4,4,"[16, 0, 24, 8]",64
"[23, 20, 29, 26]",2,2,"[16, 16, 32, 32]",256
"[4, 11, 10, 17]",3,3,"[4, 8, 12, 24]",128
"[0, 15, 6, 21]",3,3,"[0, 8, 8, 24]",128
"[20, 1, 26, 7]",4,4,"[20, 0, 28, 8]",64
"[0, 7, 6, 13]",3,3,"[0, 0, 8, 16]",128
"[1, 0, 7, 6]",4,4,"[0, 0, 8, 8]",64
"[7, 20, 13, 26]",2,2,"[0, 16, 16, 32]",256
"[10, 2, 16, 8]",4,4,"[8, 0, 16, 8]",64
"[26, 1, 32, 7]",4,4,"[24, 0, 32, 8]",64
"[11, 21, 17, 27]",2,2,"[8, 16, 24, 32]",256
"[13, 4, 19, 10]",4,4,"[12, 4, 20, 12]",64
"[6, 14, 12, 20]",4,4,"[4, 12, 12, 20]",64
"[13, 4, 19, 10]",4,4,"[12, 4, 20, 12]",64
"[11, 9, 17, 15]",2,2,"[8, 8, 24, 24]",256
"[5, 20, 11, 26]",4,4,"[4, 20, 12, 28]",64
"[10, 23, 16, 29]",3,3,"[8, 16, 16, 32]",128
"[25, 23, 31, 29]",3,3,"[24, 16, 32, 32]",128
"[13, 12, 19, 18]",4,4,"[12, 12, 20, 20]",64
"[0, 13, 6, 19]",4,4,"[0, 12, 8, 20]",64
"[8, 17, 14, 23]",4,4,"[8, 16, 16, 24]",64
"[17, 25, 23, 31]",4,4,"[16, 24, 24, 32]",64
"[23, 21, 29, 27]",2,2,"[16, 16, 32, 32]",256
"[22, 14, 28, 20]",4,4,"[20, 12, 28, 20]",64
"[24, 1, 30, 7]",4,4,"[24, 0, 32, 8]",64
"[18, 3, 24, 9]",3,3,"[16, 0, 24, 16]",128
"[13, 12, 19, 18]",4,4,"[12, 12, 20, 20]",64
"[5, 0, 11, 6]",4,4,"[4, 0, 12, 8]",64
"[16, 4, 22, 10]",4,4,"[16, 4, 24, 12]",64
"[19, 21, 25, 27]",2,2,"[16, 16, 32, 32]",256
"[16, 26, 22, 32]",4,4,"[16, 24, 24, 32]",64
"[23, 22, 29, 28]",2,2,"[16, 16, 32, 32]",256
"[4, 2, 10, 8]",4,4,"[4, 0, 12, 8]",64
"[10, 7, 16, 13]",3,3,"[8, 0, 16, 16]",128
"[26, 26, 32, 32]",4,4,"[24, 24, 32, 32]",64
"[26, 5, 32, 11]",4,4,"[24, 4, 32, 12]",64
"[7, 0, 13, 6]",2,2,"[0, 0, 16, 16]",256
"[25, 5, 31, 11]",4,4,"[24, 4, 32, 12]",64
"[23, 25, 29, 31]",2,2,"[16, 16, 32, 32]",256
"[26, 21, 32, 27]",4,4,"[24, 20, 32, 28]",64
"[17, 5, 23, 11]",4,4,"[16, 4, 24, 12]",64
"[22, 2, 28, 8]",4,4,"[20, 0, 28, 8]",64
"[13, 19, 19, 25]",3,3,"[12, 16, 20, 32]",128
"[3, 19, 9, 25]",2,2,"[0, 16, 16, 32]",256
"[20, 14, 26, 20]",4,4,"[20, 12, 28, 20]",64
"[22, 4, 28, 10]",4,4,"[20, 4, 28, 12]",64
"[19, 19, 25, 25]",2,2,"[16, 16, 32, 32]",256
"[1, 8, 7, 14]",4,4,"[0, 8, 8, 16]",64
"[10, 25, 16, 31]",4,4,"[8, 24, 16, 32]",64
"[23, 23, 29, 29]",2,2,"[16, 16, 32, 32]",256
"[12, 0, 18, 6]",4,4,"[12, 0, 20, 8]",64
"[20, 1, 26, 7]",4,4,"[20, 0, 28, 8]",64
"[15, 2, 21, 8]",2,2,"[8, 0, 24, 16]",256
"[11, 9, 17, 15]",2,2,"[8, 8, 24, 24]",256
"[21, 4, 27, 10]",4,4,"[20, 4, 28, 12]",64
"[14, 7, 20, 13]",3,3,"[12, 0, 20, 16]",128
"[16, 11, 22, 17]",3,3,"[16, 8, 24, 24]",128
"[5, 23, 11, 29]",3,3,"[4, 16, 12, 32]",128
"[24, 12, 30, 18]",4,4,"[24, 12, 32, 20]",64
"[10, 8, 16, 14]",4,4,"[8, 8, 16, 16]",64
"[25, 15, 31, 21]",3,3,"[24, 8, 32, 24]",128
"[12, 0, 18, 6]",4,4,"[12, 0, 20, 8]",64
"[9, 16, 15, 22]",4,4,"[8, 16, 16, 24]",64
"[9, 17, 15, 23]",4,4,"[8, 16, 16, 24]",64
"[15, 1, 21, 7]",2,2,"[8, 0, 24, 16]",256
"[24, 17, 30, 23]",4,4,"[24, 16, 32, 24]",64
"[18, 17, 24, 23]",4,4,"[16, 16, 24, 24]",64
"[8, 21, 14, 27]",4,4,"[8, 20, 16, 28]",64
"[1, 14, 7, 20]",4,4,"[0, 12, 8, 20]",64
"[12, 23, 18, 29]",3,3,"[12, 16, 20, 32]",128
"[3, 12, 9, 18]",2,2,"[0, 8, 16, 24]",256
"[11, 15, 17, 21]",2,2,"[8, 8, 24, 24]",256
"[1, 0, 7, 6]",4,4,"[0, 0, 8, 8]",64
"[8, 23, 14, 29]",3,3,"[8, 16, 16, 32]",128
"[1, 8, 7, 14]",4,4,"[0, 8, 8, 16]",64
"[21, 21, 27, 27]",4,4,"[20, 20, 28, 28]",64
"[18, 22, 24, 28]",4,4,"[16, 20, 24, 28]",64
