SRC_random Query: Small,Depth,BBoxes,Data Size
"[14, 2, 15, 3]",6,"[14, 2, 16, 4]",4
"[5, 7, 6, 8]",6,"[4, 6, 6, 8]",4
"[5, 12, 6, 13]",6,"[5, 11, 7, 13]",4
"[1, 13, 2, 14]",6,"[1, 12, 3, 14]",4
"[6, 6, 7, 7]",6,"[6, 6, 8, 8]",4
"[9, 4, 10, 5]",6,"[9, 4, 11, 6]",4
"[15, 5, 16, 6]",6,"[14, 5, 16, 7]",4
"[11, 1, 12, 2]",6,"[10, 0, 12, 2]",4
"[3, 4, 4, 5]",6,"[2, 4, 4, 6]",4
"[5, 13, 6, 14]",6,"[4, 12, 6, 14]",4
"[14, 8, 15, 9]",6,"[13, 8, 15, 10]",4
"[3, 8, 4, 9]",6,"[3, 8, 5, 10]",4
"[11, 9, 12, 10]",6,"[10, 8, 12, 10]",4
"[12, 3, 13, 4]",6,"[12, 2, 14, 4]",4
"[13, 3, 14, 4]",6,"[12, 2, 14, 4]",4
"[11, 5, 12, 6]",6,"[10, 5, 12, 7]",4
"[9, 7, 10, 8]",6,"[9, 6, 11, 8]",4
"[8, 10, 9, 11]",6,"[8, 9, 10, 11]",4
"[14, 12, 15, 13]",6,"[13, 12, 15, 14]",4
"[1, 13, 2, 14]",6,"[0, 12, 2, 14]",4
"[7, 9, 8, 10]",6,"[6, 9, 8, 11]",4
"[13, 11, 14, 12]",6,"[12, 10, 14, 12]",4
"[9, 11, 10, 12]",6,"[8, 10, 10, 12]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[3, 15, 4, 16]",6,"[2, 14, 4, 16]",4
"[12, 8, 13, 9]",6,"[12, 8, 14, 10]",4
"[4, 1, 5, 2]",6,"[4, 1, 6, 3]",4
"[0, 10, 1, 11]",6,"[0, 10, 2, 12]",4
"[6, 0, 7, 1]",6,"[6, 0, 8, 2]",4
"[0, 13, 1, 14]",6,"[0, 12, 2, 14]",4
"[11, 7, 12, 8]",6,"[10, 6, 12, 8]",4
"[2, 14, 3, 15]",6,"[2, 13, 4, 15]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[7, 15, 8, 16]",6,"[7, 14, 9, 16]",4
"[7, 4, 8, 5]",6,"[6, 3, 8, 5]",4
"[2, 13, 3, 14]",6,"[2, 12, 4, 14]",4
"[4, 9, 5, 10]",6,"[4, 9, 6, 11]",4
"[8, 9, 9, 10]",6,"[8, 9, 10, 11]",4
"[3, 9, 4, 10]",6,"[2, 8, 4, 10]",4
"[10, 3, 11, 4]",6,"[10, 2, 12, 4]",4
"[3, 0, 4, 1]",6,"[3, 0, 5, 2]",4
"[12, 14, 13, 15]",6,"[12, 13, 14, 15]",4
"[10, 2, 11, 3]",6,"[10, 2, 12, 4]",4
"[7, 5, 8, 6]",6,"[6, 4, 8, 6]",4
"[5, 1, 6, 2]",6,"[4, 1, 6, 3]",4
"[10, 5, 11, 6]",6,"[10, 5, 12, 7]",4
"[10, 2, 11, 3]",6,"[10, 2, 12, 4]",4
"[8, 15, 9, 16]",6,"[8, 14, 10, 16]",4
"[3, 1, 4, 2]",6,"[3, 0, 5, 2]",4
"[0, 14, 1, 15]",6,"[0, 14, 2, 16]",4
"[1, 8, 2, 9]",6,"[1, 8, 3, 10]",4
"[9, 2, 10, 3]",6,"[9, 2, 11, 4]",4
"[1, 7, 2, 8]",6,"[0, 6, 2, 8]",4
"[3, 7, 4, 8]",6,"[2, 6, 4, 8]",4
"[13, 5, 14, 6]",6,"[12, 5, 14, 7]",4
"[10, 8, 11, 9]",6,"[9, 8, 11, 10]",4
"[10, 5, 11, 6]",6,"[9, 4, 11, 6]",4
"[4, 5, 5, 6]",6,"[4, 5, 6, 7]",4
"[0, 7, 1, 8]",6,"[0, 7, 2, 9]",4
"[11, 2, 12, 3]",6,"[10, 2, 12, 4]",4
"[5, 4, 6, 5]",6,"[4, 4, 6, 6]",4
"[14, 8, 15, 9]",6,"[14, 8, 16, 10]",4
"[10, 4, 11, 5]",6,"[10, 4, 12, 6]",4
"[11, 8, 12, 9]",6,"[10, 7, 12, 9]",4
"[14, 13, 15, 14]",6,"[13, 12, 15, 14]",4
"[13, 3, 14, 4]",6,"[13, 2, 15, 4]",4
"[7, 12, 8, 13]",6,"[7, 12, 9, 14]",4
"[9, 5, 10, 6]",6,"[8, 5, 10, 7]",4
"[7, 4, 8, 5]",6,"[7, 4, 9, 6]",4
"[7, 9, 8, 10]",6,"[6, 9, 8, 11]",4
"[0, 9, 1, 10]",6,"[0, 8, 2, 10]",4
"[8, 6, 9, 7]",6,"[8, 6, 10, 8]",4
"[0, 12, 1, 13]",6,"[0, 12, 2, 14]",4
"[8, 12, 9, 13]",6,"[8, 12, 10, 14]",4
"[1, 13, 2, 14]",6,"[1, 12, 3, 14]",4
"[5, 4, 6, 5]",6,"[4, 4, 6, 6]",4
"[5, 1, 6, 2]",6,"[5, 0, 7, 2]",4
"[1, 8, 2, 9]",6,"[1, 8, 3, 10]",4
"[3, 1, 4, 2]",6,"[3, 0, 5, 2]",4
"[3, 13, 4, 14]",6,"[2, 12, 4, 14]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[3, 3, 4, 4]",6,"[2, 2, 4, 4]",4
"[2, 1, 3, 2]",6,"[2, 0, 4, 2]",4
"[10, 2, 11, 3]",6,"[9, 1, 11, 3]",4
"[12, 13, 13, 14]",6,"[12, 12, 14, 14]",4
"[3, 11, 4, 12]",6,"[2, 10, 4, 12]",4
"[3, 8, 4, 9]",6,"[2, 8, 4, 10]",4
"[3, 9, 4, 10]",6,"[2, 8, 4, 10]",4
"[15, 4, 16, 5]",6,"[14, 3, 16, 5]",4
"[1, 14, 2, 15]",6,"[0, 13, 2, 15]",4
"[10, 5, 11, 6]",6,"[10, 5, 12, 7]",4
"[8, 15, 9, 16]",6,"[8, 14, 10, 16]",4
"[13, 8, 14, 9]",6,"[12, 8, 14, 10]",4
"[11, 8, 12, 9]",6,"[10, 8, 12, 10]",4
"[9, 10, 10, 11]",6,"[8, 10, 10, 12]",4
"[1, 1, 2, 2]",6,"[0, 1, 2, 3]",4
"[3, 13, 4, 14]",6,"[2, 12, 4, 14]",4
"[3, 0, 4, 1]",6,"[2, 0, 4, 2]",4
"[3, 5, 4, 6]",6,"[2, 4, 4, 6]",4
"[12, 6, 13, 7]",6,"[11, 6, 13, 8]",4
"[14, 2, 15, 3]",6,"[14, 2, 16, 4]",4
"[13, 8, 14, 9]",6,"[13, 7, 15, 9]",4
"[1, 9, 2, 10]",6,"[1, 8, 3, 10]",4
"[2, 9, 3, 10]",6,"[2, 9, 4, 11]",4
"[9, 12, 10, 13]",6,"[9, 12, 11, 14]",4
"[6, 3, 7, 4]",6,"[5, 3, 7, 5]",4
"[14, 7, 15, 8]",6,"[14, 6, 16, 8]",4
"[3, 5, 4, 6]",6,"[3, 5, 5, 7]",4
"[6, 0, 7, 1]",6,"[6, 0, 8, 2]",4
"[12, 1, 13, 2]",6,"[11, 0, 13, 2]",4
"[7, 5, 8, 6]",6,"[6, 4, 8, 6]",4
"[2, 8, 3, 9]",6,"[1, 7, 3, 9]",4
"[14, 8, 15, 9]",6,"[13, 8, 15, 10]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[7, 8, 8, 9]",6,"[7, 8, 9, 10]",4
"[6, 3, 7, 4]",6,"[6, 2, 8, 4]",4
"[1, 10, 2, 11]",6,"[1, 9, 3, 11]",4
"[15, 11, 16, 12]",6,"[14, 10, 16, 12]",4
"[13, 6, 14, 7]",6,"[12, 6, 14, 8]",4
"[8, 14, 9, 15]",6,"[8, 13, 10, 15]",4
"[14, 3, 15, 4]",6,"[14, 2, 16, 4]",4
"[8, 11, 9, 12]",6,"[8, 10, 10, 12]",4
"[13, 14, 14, 15]",6,"[13, 13, 15, 15]",4
"[13, 1, 14, 2]",6,"[12, 0, 14, 2]",4
"[14, 10, 15, 11]",6,"[14, 9, 16, 11]",4
"[1, 6, 2, 7]",6,"[1, 6, 3, 8]",4
"[12, 4, 13, 5]",6,"[12, 4, 14, 6]",4
"[0, 1, 1, 2]",6,"[0, 1, 2, 3]",4
"[13, 7, 14, 8]",6,"[12, 6, 14, 8]",4
"[6, 1, 7, 2]",6,"[6, 0, 8, 2]",4
"[1, 15, 2, 16]",6,"[0, 14, 2, 16]",4
"[7, 1, 8, 2]",6,"[6, 0, 8, 2]",4
"[4, 9, 5, 10]",6,"[4, 9, 6, 11]",4
"[3, 11, 4, 12]",6,"[2, 10, 4, 12]",4
"[11, 14, 12, 15]",6,"[10, 13, 12, 15]",4
"[13, 6, 14, 7]",6,"[13, 5, 15, 7]",4
"[4, 0, 5, 1]",6,"[4, 0, 6, 2]",4
"[10, 14, 11, 15]",6,"[9, 14, 11, 16]",4
"[9, 9, 10, 10]",6,"[9, 8, 11, 10]",4
"[14, 11, 15, 12]",6,"[14, 10, 16, 12]",4
"[11, 14, 12, 15]",6,"[10, 13, 12, 15]",4
"[4, 9, 5, 10]",6,"[4, 9, 6, 11]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[1, 7, 2, 8]",6,"[1, 6, 3, 8]",4
"[3, 8, 4, 9]",6,"[2, 7, 4, 9]",4
"[8, 4, 9, 5]",6,"[8, 3, 10, 5]",4
"[1, 14, 2, 15]",6,"[0, 13, 2, 15]",4
"[1, 7, 2, 8]",6,"[1, 6, 3, 8]",4
"[4, 2, 5, 3]",6,"[4, 1, 6, 3]",4
"[5, 5, 6, 6]",6,"[5, 5, 7, 7]",4
"[8, 4, 9, 5]",6,"[8, 4, 10, 6]",4
"[13, 0, 14, 1]",6,"[12, 0, 14, 2]",4
"[0, 7, 1, 8]",6,"[0, 6, 2, 8]",4
"[1, 3, 2, 4]",6,"[0, 2, 2, 4]",4
"[3, 11, 4, 12]",6,"[2, 10, 4, 12]",4
"[9, 11, 10, 12]",6,"[9, 10, 11, 12]",4
"[6, 2, 7, 3]",6,"[5, 1, 7, 3]",4
"[2, 9, 3, 10]",6,"[2, 8, 4, 10]",4
"[14, 3, 15, 4]",6,"[14, 2, 16, 4]",4
"[13, 3, 14, 4]",6,"[12, 2, 14, 4]",4
"[11, 12, 12, 13]",6,"[10, 12, 12, 14]",4
"[6, 5, 7, 6]",6,"[5, 4, 7, 6]",4
"[1, 11, 2, 12]",6,"[1, 10, 3, 12]",4
"[9, 9, 10, 10]",6,"[8, 9, 10, 11]",4
"[4, 13, 5, 14]",6,"[4, 12, 6, 14]",4
"[10, 6, 11, 7]",6,"[9, 6, 11, 8]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[6, 6, 7, 7]",6,"[6, 6, 8, 8]",4
"[10, 1, 11, 2]",6,"[10, 0, 12, 2]",4
"[14, 15, 15, 16]",6,"[13, 14, 15, 16]",4
"[15, 0, 16, 1]",6,"[14, 0, 16, 2]",4
"[4, 15, 5, 16]",6,"[4, 14, 6, 16]",4
"[5, 14, 6, 15]",6,"[4, 14, 6, 16]",4
"[15, 12, 16, 13]",6,"[14, 11, 16, 13]",4
"[14, 15, 15, 16]",6,"[13, 14, 15, 16]",4
"[10, 12, 11, 13]",6,"[10, 11, 12, 13]",4
"[4, 9, 5, 10]",6,"[4, 8, 6, 10]",4
"[2, 11, 3, 12]",6,"[2, 10, 4, 12]",4
"[13, 11, 14, 12]",6,"[13, 10, 15, 12]",4
"[6, 14, 7, 15]",6,"[5, 14, 7, 16]",4
"[13, 6, 14, 7]",6,"[12, 5, 14, 7]",4
"[6, 9, 7, 10]",6,"[5, 8, 7, 10]",4
"[7, 13, 8, 14]",6,"[6, 12, 8, 14]",4
"[4, 15, 5, 16]",6,"[4, 14, 6, 16]",4
"[4, 10, 5, 11]",6,"[4, 10, 6, 12]",4
"[11, 14, 12, 15]",6,"[10, 14, 12, 16]",4
"[13, 13, 14, 14]",6,"[13, 12, 15, 14]",4
"[10, 15, 11, 16]",6,"[10, 14, 12, 16]",4
"[13, 10, 14, 11]",6,"[13, 9, 15, 11]",4
"[12, 11, 13, 12]",6,"[12, 10, 14, 12]",4
"[1, 9, 2, 10]",6,"[0, 8, 2, 10]",4
"[8, 10, 9, 11]",6,"[8, 10, 10, 12]",4
"[8, 15, 9, 16]",6,"[8, 14, 10, 16]",4
"[15, 7, 16, 8]",6,"[14, 6, 16, 8]",4
"[2, 12, 3, 13]",6,"[1, 12, 3, 14]",4
"[9, 2, 10, 3]",6,"[8, 2, 10, 4]",4
"[2, 14, 3, 15]",6,"[2, 13, 4, 15]",4
"[11, 3, 12, 4]",6,"[10, 2, 12, 4]",4
"[12, 11, 13, 12]",6,"[11, 10, 13, 12]",4
"[8, 1, 9, 2]",6,"[8, 1, 10, 3]",4
"[0, 6, 1, 7]",6,"[0, 5, 2, 7]",4
"[2, 10, 3, 11]",6,"[2, 10, 4, 12]",4
"[9, 15, 10, 16]",6,"[9, 14, 11, 16]",4
"[4, 8, 5, 9]",6,"[4, 8, 6, 10]",4
"[4, 5, 5, 6]",6,"[3, 4, 5, 6]",4
"[11, 10, 12, 11]",6,"[10, 10, 12, 12]",4
"[2, 14, 3, 15]",6,"[2, 14, 4, 16]",4
"[3, 11, 4, 12]",6,"[3, 10, 5, 12]",4
"[7, 12, 8, 13]",6,"[7, 12, 9, 14]",4
"[14, 13, 15, 14]",6,"[13, 12, 15, 14]",4
"[15, 1, 16, 2]",6,"[14, 0, 16, 2]",4
"[5, 6, 6, 7]",6,"[4, 5, 6, 7]",4
"[12, 5, 13, 6]",6,"[12, 4, 14, 6]",4
"[3, 3, 4, 4]",6,"[2, 2, 4, 4]",4
"[5, 8, 6, 9]",6,"[4, 8, 6, 10]",4
"[8, 4, 9, 5]",6,"[8, 3, 10, 5]",4
"[12, 15, 13, 16]",6,"[12, 14, 14, 16]",4
"[1, 13, 2, 14]",6,"[0, 12, 2, 14]",4
"[0, 14, 1, 15]",6,"[0, 13, 2, 15]",4
"[11, 15, 12, 16]",6,"[10, 14, 12, 16]",4
"[14, 6, 15, 7]",6,"[13, 5, 15, 7]",4
"[10, 8, 11, 9]",6,"[9, 8, 11, 10]",4
"[10, 0, 11, 1]",6,"[10, 0, 12, 2]",4
"[12, 8, 13, 9]",6,"[12, 8, 14, 10]",4
"[2, 5, 3, 6]",6,"[2, 5, 4, 7]",4
"[9, 6, 10, 7]",6,"[8, 6, 10, 8]",4
"[1, 3, 2, 4]",6,"[0, 2, 2, 4]",4
"[6, 7, 7, 8]",6,"[6, 6, 8, 8]",4
"[3, 11, 4, 12]",6,"[2, 10, 4, 12]",4
"[12, 11, 13, 12]",6,"[12, 10, 14, 12]",4
"[13, 14, 14, 15]",6,"[12, 13, 14, 15]",4
"[10, 15, 11, 16]",6,"[9, 14, 11, 16]",4
"[15, 3, 16, 4]",6,"[14, 2, 16, 4]",4
"[11, 8, 12, 9]",6,"[10, 8, 12, 10]",4
"[2, 1, 3, 2]",6,"[1, 0, 3, 2]",4
"[1, 10, 2, 11]",6,"[1, 10, 3, 12]",4
"[0, 7, 1, 8]",6,"[0, 6, 2, 8]",4
"[12, 1, 13, 2]",6,"[11, 0, 13, 2]",4
"[12, 8, 13, 9]",6,"[12, 7, 14, 9]",4
"[7, 10, 8, 11]",6,"[6, 10, 8, 12]",4
"[8, 1, 9, 2]",6,"[8, 1, 10, 3]",4
"[9, 8, 10, 9]",6,"[9, 8, 11, 10]",4
"[5, 6, 6, 7]",6,"[5, 6, 7, 8]",4
"[14, 10, 15, 11]",6,"[13, 9, 15, 11]",4
"[1, 2, 2, 3]",6,"[0, 2, 2, 4]",4
"[9, 15, 10, 16]",6,"[9, 14, 11, 16]",4
"[4, 7, 5, 8]",6,"[3, 6, 5, 8]",4
"[9, 3, 10, 4]",6,"[8, 3, 10, 5]",4
"[14, 4, 15, 5]",6,"[14, 4, 16, 6]",4
"[14, 3, 15, 4]",6,"[13, 2, 15, 4]",4
"[9, 8, 10, 9]",6,"[9, 8, 11, 10]",4
"[5, 9, 6, 10]",6,"[4, 8, 6, 10]",4
"[11, 10, 12, 11]",6,"[10, 10, 12, 12]",4
"[9, 12, 10, 13]",6,"[8, 11, 10, 13]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[9, 7, 10, 8]",6,"[8, 6, 10, 8]",4
"[8, 15, 9, 16]",6,"[8, 14, 10, 16]",4
"[4, 14, 5, 15]",6,"[4, 14, 6, 16]",4
"[6, 11, 7, 12]",6,"[6, 11, 8, 13]",4
"[13, 6, 14, 7]",6,"[12, 6, 14, 8]",4
"[5, 0, 6, 1]",6,"[4, 0, 6, 2]",4
"[10, 0, 11, 1]",6,"[10, 0, 12, 2]",4
"[6, 7, 7, 8]",6,"[6, 6, 8, 8]",4
"[3, 9, 4, 10]",6,"[2, 9, 4, 11]",4
"[13, 10, 14, 11]",6,"[12, 9, 14, 11]",4
"[4, 8, 5, 9]",6,"[4, 8, 6, 10]",4
"[7, 7, 8, 8]",6,"[6, 6, 8, 8]",4
"[15, 15, 16, 16]",6,"[14, 14, 16, 16]",4
"[14, 13, 15, 14]",6,"[13, 12, 15, 14]",4
"[15, 5, 16, 6]",6,"[14, 4, 16, 6]",4
"[7, 5, 8, 6]",6,"[6, 5, 8, 7]",4
"[10, 10, 11, 11]",6,"[10, 10, 12, 12]",4
"[10, 11, 11, 12]",6,"[9, 10, 11, 12]",4
"[7, 0, 8, 1]",6,"[6, 0, 8, 2]",4
"[10, 15, 11, 16]",6,"[10, 14, 12, 16]",4
"[1, 2, 2, 3]",6,"[0, 2, 2, 4]",4
"[8, 7, 9, 8]",6,"[8, 6, 10, 8]",4
"[4, 2, 5, 3]",6,"[4, 2, 6, 4]",4
"[10, 6, 11, 7]",6,"[9, 6, 11, 8]",4
"[7, 4, 8, 5]",6,"[6, 4, 8, 6]",4
"[12, 2, 13, 3]",6,"[12, 2, 14, 4]",4
"[0, 8, 1, 9]",6,"[0, 7, 2, 9]",4
"[4, 1, 5, 2]",6,"[3, 0, 5, 2]",4
"[1, 6, 2, 7]",6,"[1, 6, 3, 8]",4
"[2, 11, 3, 12]",6,"[2, 10, 4, 12]",4
"[2, 1, 3, 2]",6,"[1, 1, 3, 3]",4
"[11, 9, 12, 10]",6,"[10, 8, 12, 10]",4
"[3, 13, 4, 14]",6,"[2, 12, 4, 14]",4
"[0, 15, 1, 16]",6,"[0, 14, 2, 16]",4
"[4, 8, 5, 9]",6,"[4, 8, 6, 10]",4
"[9, 13, 10, 14]",6,"[8, 12, 10, 14]",4
"[4, 3, 5, 4]",6,"[4, 2, 6, 4]",4
"[6, 9, 7, 10]",6,"[6, 8, 8, 10]",4
"[6, 0, 7, 1]",6,"[5, 0, 7, 2]",4
"[13, 13, 14, 14]",6,"[12, 12, 14, 14]",4
"[1, 10, 2, 11]",6,"[0, 9, 2, 11]",4
"[3, 4, 4, 5]",6,"[2, 4, 4, 6]",4
"[0, 7, 1, 8]",6,"[0, 6, 2, 8]",4
"[12, 10, 13, 11]",6,"[12, 9, 14, 11]",4
"[0, 1, 1, 2]",6,"[0, 1, 2, 3]",4
"[15, 7, 16, 8]",6,"[14, 6, 16, 8]",4
"[13, 3, 14, 4]",6,"[12, 2, 14, 4]",4
"[0, 2, 1, 3]",6,"[0, 2, 2, 4]",4
"[13, 3, 14, 4]",6,"[13, 3, 15, 5]",4
"[8, 12, 9, 13]",6,"[7, 11, 9, 13]",4
"[10, 11, 11, 12]",6,"[9, 11, 11, 13]",4
"[12, 14, 13, 15]",6,"[12, 13, 14, 15]",4
"[12, 8, 13, 9]",6,"[12, 8, 14, 10]",4
"[0, 15, 1, 16]",6,"[0, 14, 2, 16]",4
"[13, 11, 14, 12]",6,"[13, 10, 15, 12]",4
"[1, 3, 2, 4]",6,"[0, 3, 2, 5]",4
"[10, 11, 11, 12]",6,"[10, 10, 12, 12]",4
"[10, 8, 11, 9]",6,"[10, 8, 12, 10]",4
"[7, 8, 8, 9]",6,"[7, 7, 9, 9]",4
"[0, 7, 1, 8]",6,"[0, 7, 2, 9]",4
"[4, 15, 5, 16]",6,"[4, 14, 6, 16]",4
"[15, 14, 16, 15]",6,"[14, 13, 16, 15]",4
"[4, 12, 5, 13]",6,"[4, 12, 6, 14]",4
"[7, 11, 8, 12]",6,"[7, 10, 9, 12]",4
"[3, 9, 4, 10]",6,"[2, 8, 4, 10]",4
"[7, 5, 8, 6]",6,"[6, 4, 8, 6]",4
"[0, 11, 1, 12]",6,"[0, 10, 2, 12]",4
"[9, 5, 10, 6]",6,"[9, 5, 11, 7]",4
"[2, 1, 3, 2]",6,"[1, 1, 3, 3]",4
"[14, 2, 15, 3]",6,"[14, 2, 16, 4]",4
"[10, 9, 11, 10]",6,"[9, 8, 11, 10]",4
"[14, 2, 15, 3]",6,"[14, 2, 16, 4]",4
"[5, 10, 6, 11]",6,"[4, 9, 6, 11]",4
"[11, 5, 12, 6]",6,"[10, 4, 12, 6]",4
"[9, 9, 10, 10]",6,"[9, 8, 11, 10]",4
"[8, 12, 9, 13]",6,"[8, 12, 10, 14]",4
"[2, 14, 3, 15]",6,"[2, 13, 4, 15]",4
"[3, 0, 4, 1]",6,"[2, 0, 4, 2]",4
"[3, 9, 4, 10]",6,"[2, 9, 4, 11]",4
"[8, 13, 9, 14]",6,"[8, 12, 10, 14]",4
"[14, 9, 15, 10]",6,"[14, 8, 16, 10]",4
"[8, 3, 9, 4]",6,"[8, 2, 10, 4]",4
"[1, 8, 2, 9]",6,"[1, 8, 3, 10]",4
"[7, 10, 8, 11]",6,"[6, 9, 8, 11]",4
"[1, 15, 2, 16]",6,"[1, 14, 3, 16]",4
"[7, 5, 8, 6]",6,"[6, 5, 8, 7]",4
"[4, 13, 5, 14]",6,"[3, 13, 5, 15]",4
"[11, 13, 12, 14]",6,"[10, 13, 12, 15]",4
"[7, 14, 8, 15]",6,"[6, 14, 8, 16]",4
"[10, 15, 11, 16]",6,"[10, 14, 12, 16]",4
"[8, 7, 9, 8]",6,"[8, 6, 10, 8]",4
"[8, 2, 9, 3]",6,"[7, 2, 9, 4]",4
"[4, 11, 5, 12]",6,"[3, 10, 5, 12]",4
"[14, 5, 15, 6]",6,"[13, 5, 15, 7]",4
"[15, 1, 16, 2]",6,"[14, 1, 16, 3]",4
"[1, 0, 2, 1]",6,"[0, 0, 2, 2]",4
"[7, 5, 8, 6]",6,"[6, 4, 8, 6]",4
"[4, 7, 5, 8]",6,"[4, 7, 6, 9]",4
"[9, 12, 10, 13]",6,"[9, 11, 11, 13]",4
"[12, 9, 13, 10]",6,"[12, 8, 14, 10]",4
"[9, 6, 10, 7]",6,"[8, 6, 10, 8]",4
"[14, 13, 15, 14]",6,"[13, 12, 15, 14]",4
"[1, 12, 2, 13]",6,"[0, 12, 2, 14]",4
"[0, 12, 1, 13]",6,"[0, 12, 2, 14]",4
"[1, 15, 2, 16]",6,"[1, 14, 3, 16]",4
"[2, 6, 3, 7]",6,"[2, 5, 4, 7]",4
"[10, 7, 11, 8]",6,"[10, 6, 12, 8]",4
"[2, 15, 3, 16]",6,"[2, 14, 4, 16]",4
"[7, 9, 8, 10]",6,"[6, 8, 8, 10]",4
"[0, 1, 1, 2]",6,"[0, 0, 2, 2]",4
"[12, 10, 13, 11]",6,"[12, 10, 14, 12]",4
"[8, 0, 9, 1]",6,"[8, 0, 10, 2]",4
"[15, 11, 16, 12]",6,"[14, 10, 16, 12]",4
"[14, 4, 15, 5]",6,"[13, 4, 15, 6]",4
"[2, 8, 3, 9]",6,"[2, 8, 4, 10]",4
"[11, 7, 12, 8]",6,"[10, 6, 12, 8]",4
"[8, 11, 9, 12]",6,"[8, 11, 10, 13]",4
"[12, 11, 13, 12]",6,"[12, 10, 14, 12]",4
"[1, 8, 2, 9]",6,"[1, 8, 3, 10]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[11, 3, 12, 4]",6,"[10, 2, 12, 4]",4
"[0, 5, 1, 6]",6,"[0, 5, 2, 7]",4
"[11, 12, 12, 13]",6,"[11, 12, 13, 14]",4
"[3, 8, 4, 9]",6,"[3, 8, 5, 10]",4
"[8, 6, 9, 7]",6,"[8, 6, 10, 8]",4
"[0, 4, 1, 5]",6,"[0, 4, 2, 6]",4
"[8, 1, 9, 2]",6,"[8, 0, 10, 2]",4
"[12, 7, 13, 8]",6,"[12, 6, 14, 8]",4
"[6, 7, 7, 8]",6,"[5, 6, 7, 8]",4
"[4, 13, 5, 14]",6,"[3, 12, 5, 14]",4
"[6, 11, 7, 12]",6,"[5, 10, 7, 12]",4
"[2, 6, 3, 7]",6,"[1, 6, 3, 8]",4
"[5, 6, 6, 7]",6,"[5, 5, 7, 7]",4
"[11, 5, 12, 6]",6,"[10, 5, 12, 7]",4
"[13, 8, 14, 9]",6,"[12, 8, 14, 10]",4
"[1, 11, 2, 12]",6,"[0, 10, 2, 12]",4
"[11, 12, 12, 13]",6,"[11, 11, 13, 13]",4
"[3, 11, 4, 12]",6,"[2, 11, 4, 13]",4
"[4, 12, 5, 13]",6,"[4, 11, 6, 13]",4
"[6, 15, 7, 16]",6,"[6, 14, 8, 16]",4
"[13, 6, 14, 7]",6,"[13, 6, 15, 8]",4
"[11, 1, 12, 2]",6,"[10, 1, 12, 3]",4
"[12, 12, 13, 13]",6,"[12, 11, 14, 13]",4
"[5, 14, 6, 15]",6,"[4, 13, 6, 15]",4
"[14, 3, 15, 4]",6,"[14, 3, 16, 5]",4
"[12, 14, 13, 15]",6,"[12, 13, 14, 15]",4
"[6, 5, 7, 6]",6,"[6, 4, 8, 6]",4
"[7, 13, 8, 14]",6,"[6, 12, 8, 14]",4
"[0, 15, 1, 16]",6,"[0, 14, 2, 16]",4
"[15, 15, 16, 16]",6,"[14, 14, 16, 16]",4
"[2, 7, 3, 8]",6,"[2, 6, 4, 8]",4
"[7, 7, 8, 8]",6,"[6, 6, 8, 8]",4
"[12, 15, 13, 16]",6,"[12, 14, 14, 16]",4
"[12, 13, 13, 14]",6,"[12, 12, 14, 14]",4
"[10, 5, 11, 6]",6,"[10, 4, 12, 6]",4
"[14, 2, 15, 3]",6,"[14, 1, 16, 3]",4
"[9, 0, 10, 1]",6,"[8, 0, 10, 2]",4
"[11, 11, 12, 12]",6,"[10, 10, 12, 12]",4
"[10, 2, 11, 3]",6,"[10, 2, 12, 4]",4
"[10, 13, 11, 14]",6,"[10, 12, 12, 14]",4
"[8, 3, 9, 4]",6,"[8, 3, 10, 5]",4
"[3, 0, 4, 1]",6,"[2, 0, 4, 2]",4
"[5, 11, 6, 12]",6,"[5, 11, 7, 13]",4
"[3, 11, 4, 12]",6,"[2, 11, 4, 13]",4
"[11, 6, 12, 7]",6,"[10, 6, 12, 8]",4
"[9, 5, 10, 6]",6,"[8, 5, 10, 7]",4
"[9, 6, 10, 7]",6,"[9, 6, 11, 8]",4
"[12, 6, 13, 7]",6,"[12, 5, 14, 7]",4
"[15, 15, 16, 16]",6,"[14, 14, 16, 16]",4
"[4, 1, 5, 2]",6,"[4, 1, 6, 3]",4
"[14, 11, 15, 12]",6,"[14, 10, 16, 12]",4
"[9, 7, 10, 8]",6,"[9, 7, 11, 9]",4
"[10, 11, 11, 12]",6,"[9, 10, 11, 12]",4
"[9, 2, 10, 3]",6,"[8, 2, 10, 4]",4
"[15, 1, 16, 2]",6,"[14, 1, 16, 3]",4
"[0, 10, 1, 11]",6,"[0, 9, 2, 11]",4
"[12, 9, 13, 10]",6,"[11, 8, 13, 10]",4
"[13, 5, 14, 6]",6,"[12, 4, 14, 6]",4
"[14, 9, 15, 10]",6,"[13, 8, 15, 10]",4
"[6, 0, 7, 1]",6,"[6, 0, 8, 2]",4
"[3, 3, 4, 4]",6,"[2, 2, 4, 4]",4
