,BRC Size,SRC Size,SRC Depth,Diff,F/P %,Error %
0,147,5262,2,5115,35.795918367346935,2.793614595210946
1,33,1316,4,1283,39.878787878787875,2.507598784194529
2,0,1315,4,1315,inf,0.0
3,0,1316,4,1316,inf,0.0
4,128,2631,3,2503,20.5546875,4.865070315469403
5,302,1315,4,1013,4.354304635761589,22.96577946768061
6,25,21048,0,21023,841.92,0.11877613074876472
7,61,329,6,268,5.39344262295082,18.541033434650455
8,0,1316,4,1316,inf,0.0
9,24,1316,4,1292,54.833333333333336,1.82370820668693
10,112,2631,3,2519,23.491071428571427,4.2569365260357275
11,0,328,6,328,inf,0.0
12,0,2631,3,2631,inf,0.0
13,112,658,5,546,5.875,17.02127659574468
14,82,1316,4,1234,16.048780487804876,6.231003039513678
15,0,329,6,329,inf,0.0
16,321,1315,4,994,4.0965732087227416,24.4106463878327
17,88,21048,0,20960,239.1818181818182,0.41809198023565186
18,157,21048,0,20891,134.06369426751593,0.7459141011022425
19,22,165,7,143,7.5,13.333333333333334
20,208,2631,3,2423,12.649038461538462,7.9057392626377805
21,111,658,5,547,5.927927927927928,16.869300911854104
22,236,2631,3,2395,11.148305084745763,8.969973394146711
23,0,1315,4,1315,inf,0.0
24,0,329,6,329,inf,0.0
25,0,5262,2,5262,inf,0.0
26,44,83,8,39,1.8863636363636365,53.01204819277109
27,38,82,8,44,2.1578947368421053,46.34146341463415
28,0,83,8,83,inf,0.0
29,128,2631,3,2503,20.5546875,4.865070315469403
30,320,10524,1,10204,32.8875,3.0406689471683768
31,230,10524,1,10294,45.756521739130434,2.185480805777271
32,267,1315,4,1048,4.925093632958801,20.304182509505704
33,285,21048,0,20763,73.85263157894737,1.354047890535918
34,90,5262,2,5172,58.46666666666667,1.7103762827822122
35,240,658,5,418,2.7416666666666667,36.474164133738604
36,0,82,8,82,inf,0.0
37,120,5262,2,5142,43.85,2.280501710376283
38,0,83,8,83,inf,0.0
39,0,5262,2,5262,inf,0.0
40,0,83,8,83,inf,0.0
41,0,1316,4,1316,inf,0.0
42,157,21048,0,20891,134.06369426751593,0.7459141011022425
43,0,83,8,83,inf,0.0
44,394,5262,2,4868,13.355329949238579,7.487647282402128
45,89,329,6,240,3.696629213483146,27.0516717325228
46,258,2631,3,2373,10.19767441860465,9.806157354618016
47,274,1316,4,1042,4.802919708029197,20.820668693009118
48,228,1316,4,1088,5.771929824561403,17.325227963525837
49,186,657,5,471,3.532258064516129,28.31050228310502
50,90,329,6,239,3.6555555555555554,27.35562310030395
51,0,83,8,83,inf,0.0
52,158,2631,3,2473,16.651898734177216,6.0053211706575444
53,104,1315,4,1211,12.64423076923077,7.908745247148288
54,581,2631,3,2050,4.5283993115318415,22.082858228810338
55,0,21,10,21,inf,0.0
56,190,658,5,468,3.463157894736842,28.87537993920973
57,364,2631,3,2267,7.228021978021978,13.835043709616116
58,0,3,13,3,inf,0.0
59,0,1315,4,1315,inf,0.0
60,89,5262,2,5173,59.12359550561798,1.69137210186241
61,155,21048,0,20893,135.79354838709676,0.7364120106423413
62,168,5262,2,5094,31.321428571428573,3.192702394526796
63,0,21,10,21,inf,0.0
64,266,1316,4,1050,4.947368421052632,20.212765957446805
65,223,5262,2,5039,23.59641255605381,4.237932345115925
66,0,21048,0,21048,inf,0.0
67,0,1316,4,1316,inf,0.0
68,0,329,6,329,inf,0.0
69,414,1315,4,901,3.176328502415459,31.482889733840302
70,118,5262,2,5144,44.59322033898305,2.242493348536678
71,79,165,7,86,2.088607594936709,47.878787878787875
72,264,10524,1,10260,39.86363636363637,2.508551881413911
73,159,329,6,170,2.069182389937107,48.328267477203646
74,191,2631,3,2440,13.774869109947645,7.2595971113645
75,0,329,6,329,inf,0.0
76,0,1315,4,1315,inf,0.0
77,0,329,6,329,inf,0.0
78,0,657,5,657,inf,0.0
79,0,21048,0,21048,inf,0.0
80,0,82,8,82,inf,0.0
81,31,1315,4,1284,42.41935483870968,2.3574144486692017
82,0,1316,4,1316,inf,0.0
83,245,658,5,413,2.6857142857142855,37.234042553191486
84,0,328,6,328,inf,0.0
85,427,658,5,231,1.540983606557377,64.8936170212766
86,0,328,6,328,inf,0.0
87,0,2,13,2,inf,0.0
88,112,5262,2,5150,46.982142857142854,2.1284682630178637
89,0,41,9,41,inf,0.0
90,0,1316,4,1316,inf,0.0
91,0,329,6,329,inf,0.0
92,0,21048,0,21048,inf,0.0
93,0,5262,2,5262,inf,0.0
94,0,1315,4,1315,inf,0.0
95,0,165,7,165,inf,0.0
96,0,2,13,2,inf,0.0
97,75,10524,1,10449,140.32,0.7126567844925884
98,0,21048,0,21048,inf,0.0
99,1,1316,4,1315,1316.0,0.07598784194528875
100,0,1315,4,1315,inf,0.0
101,126,10524,1,10398,83.52380952380952,1.1972633979475484
102,309,5262,2,4953,17.02912621359223,5.872291904218928
103,0,5262,2,5262,inf,0.0
104,0,1316,4,1316,inf,0.0
105,223,10524,1,10301,47.19282511210762,2.1189661725579625
106,0,2,13,2,inf,0.0
107,172,21048,0,20876,122.37209302325581,0.8171797795515013
108,321,5262,2,4941,16.39252336448598,6.100342075256556
109,193,1316,4,1123,6.818652849740933,14.665653495440731
110,0,83,8,83,inf,0.0
111,13,328,6,315,25.23076923076923,3.9634146341463414
112,0,83,8,83,inf,0.0
113,304,10524,1,10220,34.61842105263158,2.888635499809958
114,0,5262,2,5262,inf,0.0
115,0,329,6,329,inf,0.0
116,55,2631,3,2576,47.836363636363636,2.090459901178259
117,343,2631,3,2288,7.670553935860059,13.036868110984418
118,173,1316,4,1143,7.606936416184971,13.145896656534955
119,0,5262,2,5262,inf,0.0
120,76,1315,4,1239,17.30263157894737,5.779467680608365
121,0,10,11,10,inf,0.0
122,363,1316,4,953,3.62534435261708,27.583586626139816
123,215,1315,4,1100,6.116279069767442,16.34980988593156
124,0,2,13,2,inf,0.0
125,0,82,8,82,inf,0.0
126,55,165,7,110,3.0,33.33333333333333
127,424,10524,1,10100,24.82075471698113,4.028886354998099
128,146,10524,1,10378,72.08219178082192,1.387305207145572
129,211,21048,0,20837,99.75355450236967,1.0024705435195742
130,50,10524,1,10474,210.48,0.4751045229950589
131,0,83,8,83,inf,0.0
132,0,5262,2,5262,inf,0.0
133,0,21048,0,21048,inf,0.0
134,329,5262,2,4933,15.993920972644377,6.252375522614975
135,79,5262,2,5183,66.60759493670886,1.5013302926643861
136,383,5262,2,4879,13.738903394255875,7.278601292284302
137,0,1315,4,1315,inf,0.0
138,0,165,7,165,inf,0.0
139,0,164,7,164,inf,0.0
140,0,1316,4,1316,inf,0.0
141,0,1315,4,1315,inf,0.0
142,320,1315,4,995,4.109375,24.334600760456272
143,150,658,5,508,4.386666666666667,22.796352583586625
144,468,5262,2,4794,11.243589743589743,8.893956670467503
145,418,5262,2,4844,12.588516746411484,7.943747624477385
146,0,82,8,82,inf,0.0
147,176,21048,0,20872,119.5909090909091,0.8361839604713037
148,338,1315,4,977,3.8905325443786984,25.70342205323194
149,0,329,6,329,inf,0.0
150,0,82,8,82,inf,0.0
151,183,1316,4,1133,7.191256830601093,13.905775075987842
152,0,1315,4,1315,inf,0.0
153,150,329,6,179,2.1933333333333334,45.59270516717325
154,50,10524,1,10474,210.48,0.4751045229950589
155,127,2631,3,2504,20.716535433070867,4.827061953629799
156,16,329,6,313,20.5625,4.86322188449848
157,0,1315,4,1315,inf,0.0
158,177,2631,3,2454,14.864406779661017,6.727480045610035
