SRC_random Query: Small,Depth,BBoxes,Data Size
"[390993, 178617, 437608, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[377028, 41138, 423643, 87753]",1,"[69337, 9783, 474275, 219328]",309
"[108291, 305656, 154906, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[124353, 133220, 170968, 179835]",1,"[69337, 9783, 474275, 219328]",309
"[82825, 292800, 129440, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[242982, 55940, 289597, 102555]",1,"[69337, 9783, 474275, 219328]",309
"[50293, 175917, 96908, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[274424, 264644, 321039, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[65294, 166161, 111909, 212776]",1,"[42574, 9783, 114520, 219328]",308
"[297139, 160732, 343754, 207347]",1,"[69337, 9783, 474275, 219328]",309
"[378558, 73553, 425173, 120168]",1,"[69337, 9783, 474275, 219328]",309
"[295133, 182574, 341748, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[291381, 114653, 337996, 161268]",1,"[69337, 9783, 474275, 219328]",309
"[427247, 324359, 473862, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[295023, 316197, 341638, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[158932, 241419, 205547, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[56158, 320743, 102773, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[426464, 209916, 473079, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[174340, 309923, 220955, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[135050, 160333, 181665, 206948]",1,"[69337, 9783, 474275, 219328]",309
"[104517, 107412, 151132, 154027]",1,"[69337, 9783, 474275, 219328]",309
"[106017, 25404, 152632, 72019]",1,"[69337, 9783, 474275, 219328]",309
"[329386, 352395, 376001, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[144461, 257956, 191076, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[44337, 55210, 90952, 101825]",1,"[42574, 9783, 114520, 219328]",308
"[363963, 405319, 410578, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[76392, 86524, 123007, 133139]",1,"[69337, 9783, 474275, 219328]",309
"[28376, 50190, 74991, 96805]",0,"[8117, 9783, 474275, 219328]",617
"[374763, 291547, 421378, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[366467, 213268, 413082, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[377888, 283144, 424503, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[152628, 281685, 199243, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[131587, 120944, 178202, 167559]",1,"[69337, 9783, 474275, 219328]",309
"[364357, 317342, 410972, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[228015, 312044, 274630, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[152406, 244341, 199021, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[266410, 354275, 313025, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[344288, 375236, 390903, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[424047, 195480, 470662, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[51304, 178156, 97919, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[329391, 68593, 376006, 115208]",1,"[69337, 9783, 474275, 219328]",309
"[263153, 315913, 309768, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[338495, 183895, 385110, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[107930, 135537, 154545, 182152]",1,"[69337, 9783, 474275, 219328]",309
"[16615, 391628, 63230, 219328]",1,"[8117, 9783, 69337, 219328]",308
"[150218, 69529, 196833, 116144]",1,"[69337, 9783, 474275, 219328]",309
"[377914, 123701, 424529, 170316]",1,"[69337, 9783, 474275, 219328]",309
"[203183, 424707, 249798, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[97498, 182461, 144113, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[231532, 40723, 278147, 87338]",1,"[69337, 9783, 474275, 219328]",309
"[60864, 418696, 107479, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[84850, 373897, 131465, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[122817, 31832, 169432, 78447]",1,"[69337, 9783, 474275, 219328]",309
"[308988, 340623, 355603, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[288190, 323827, 334805, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[364941, 46912, 411556, 93527]",1,"[69337, 9783, 474275, 219328]",309
"[22113, 73361, 68728, 119976]",1,"[8117, 9783, 69337, 219328]",308
"[341039, 106956, 387654, 153571]",1,"[69337, 9783, 474275, 219328]",309
"[326012, 310082, 372627, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[70871, 213223, 117486, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[56106, 202176, 102721, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[68958, 27196, 115573, 73811]",0,"[8117, 9783, 474275, 219328]",617
"[325575, 19460, 372190, 66075]",1,"[69337, 9783, 474275, 219328]",309
"[110138, 105095, 156753, 151710]",1,"[69337, 9783, 474275, 219328]",309
"[384615, 73073, 431230, 119688]",1,"[69337, 9783, 474275, 219328]",309
"[259373, 118519, 305988, 165134]",1,"[69337, 9783, 474275, 219328]",309
"[389355, 40143, 435970, 86758]",1,"[69337, 9783, 474275, 219328]",309
"[364290, 20061, 410905, 66676]",1,"[69337, 9783, 474275, 219328]",309
"[293453, 231263, 340068, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[333490, 61332, 380105, 107947]",1,"[69337, 9783, 474275, 219328]",309
"[144389, 44819, 191004, 91434]",1,"[69337, 9783, 474275, 219328]",309
"[123895, 45850, 170510, 92465]",1,"[69337, 9783, 474275, 219328]",309
"[347292, 165959, 393907, 212574]",1,"[69337, 9783, 474275, 219328]",309
"[191771, 236742, 238386, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[102655, 40120, 149270, 86735]",1,"[69337, 9783, 474275, 219328]",309
"[272167, 253028, 318782, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[28762, 320846, 75377, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[61028, 374763, 107643, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[213258, 112636, 259873, 159251]",1,"[69337, 9783, 474275, 219328]",309
"[144501, 196103, 191116, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[391685, 254645, 438300, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[306839, 96944, 353454, 143559]",1,"[69337, 9783, 474275, 219328]",309
"[373911, 360774, 420526, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[114764, 410428, 161379, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[38552, 421595, 85167, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[362641, 91063, 409256, 137678]",1,"[69337, 9783, 474275, 219328]",309
"[93027, 187587, 139642, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[285713, 139549, 332328, 186164]",1,"[69337, 9783, 474275, 219328]",309
"[69570, 321007, 116185, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[240016, 357086, 286631, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[99772, 15039, 146387, 61654]",1,"[69337, 9783, 474275, 219328]",309
"[255384, 365304, 301999, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[223025, 306495, 269640, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[274769, 171404, 321384, 218019]",1,"[69337, 9783, 474275, 219328]",309
"[348345, 195367, 394960, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[211877, 352897, 258492, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[139677, 88549, 186292, 135164]",1,"[69337, 9783, 474275, 219328]",309
"[302032, 370307, 348647, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[14637, 248216, 61252, 219328]",1,"[8117, 9783, 69337, 219328]",308
"[396915, 49574, 443530, 96189]",1,"[69337, 9783, 474275, 219328]",309
"[184234, 395574, 230849, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[32075, 293497, 78690, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[155380, 78810, 201995, 125425]",1,"[69337, 9783, 474275, 219328]",309
"[134014, 407711, 180629, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[260733, 192784, 307348, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[328003, 159047, 374618, 205662]",1,"[69337, 9783, 474275, 219328]",309
"[361174, 196441, 407789, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[317592, 340383, 364207, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[333740, 77503, 380355, 124118]",1,"[69337, 9783, 474275, 219328]",309
"[383307, 170802, 429922, 217417]",1,"[69337, 9783, 474275, 219328]",309
"[211549, 400539, 258164, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[225391, 349340, 272006, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[50439, 9783, 97054, 55531]",1,"[42574, 9783, 114520, 219328]",308
"[319846, 108942, 366461, 155557]",1,"[69337, 9783, 474275, 219328]",309
"[374375, 183439, 420990, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[92044, 133639, 138659, 180254]",1,"[69337, 9783, 474275, 219328]",309
"[125084, 342297, 171699, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[243068, 206637, 289683, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[380544, 361369, 427159, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[305991, 225385, 352606, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[24655, 219020, 71270, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[376077, 305635, 422692, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[227388, 412964, 274003, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[355298, 379840, 401913, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[32643, 94978, 79258, 141593]",0,"[8117, 9783, 474275, 219328]",617
"[241609, 41611, 288224, 88226]",1,"[69337, 9783, 474275, 219328]",309
"[144026, 375913, 190641, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[90790, 242140, 137405, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[284717, 263584, 331332, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[302454, 324775, 349069, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[404208, 9783, 450823, 54768]",1,"[69337, 9783, 474275, 219328]",309
"[28517, 267420, 75132, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[179005, 171725, 225620, 218340]",1,"[69337, 9783, 474275, 219328]",309
"[252902, 34256, 299517, 80871]",1,"[69337, 9783, 474275, 219328]",309
"[225768, 106683, 272383, 153298]",1,"[69337, 9783, 474275, 219328]",309
"[295721, 340037, 342336, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[51877, 388516, 98492, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[76547, 15839, 123162, 62454]",1,"[69337, 9783, 474275, 219328]",309
"[218784, 363854, 265399, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[226999, 173884, 273614, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[9895, 120065, 56510, 166680]",1,"[8117, 9783, 69337, 219328]",308
"[15609, 384201, 62224, 219328]",1,"[8117, 9783, 69337, 219328]",308
"[403825, 9783, 450440, 55968]",1,"[69337, 9783, 474275, 219328]",309
"[362410, 285122, 409025, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[329013, 59384, 375628, 105999]",1,"[69337, 9783, 474275, 219328]",309
"[107972, 70456, 154587, 117071]",1,"[69337, 9783, 474275, 219328]",309
"[327072, 348519, 373687, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[112196, 166670, 158811, 213285]",1,"[69337, 9783, 474275, 219328]",309
"[154908, 369110, 201523, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[103653, 60640, 150268, 107255]",1,"[69337, 9783, 474275, 219328]",309
"[257471, 216100, 304086, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[337180, 50765, 383795, 97380]",1,"[69337, 9783, 474275, 219328]",309
"[19570, 152146, 66185, 198761]",1,"[8117, 9783, 69337, 219328]",308
"[245608, 427455, 292223, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[423532, 68818, 470147, 115433]",1,"[69337, 9783, 474275, 219328]",309
"[142590, 78067, 189205, 124682]",1,"[69337, 9783, 474275, 219328]",309
"[350774, 281200, 397389, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[349314, 346251, 395929, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[190072, 68467, 236687, 115082]",1,"[69337, 9783, 474275, 219328]",309
"[89088, 154083, 135703, 200698]",1,"[69337, 9783, 474275, 219328]",309
"[17855, 30293, 64470, 76908]",1,"[8117, 9783, 69337, 219328]",308
"[29436, 115981, 76051, 162596]",0,"[8117, 9783, 474275, 219328]",617
"[365155, 144258, 411770, 190873]",1,"[69337, 9783, 474275, 219328]",309
"[300856, 173117, 347471, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[200475, 305633, 247090, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[30139, 400879, 76754, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[375813, 326672, 422428, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[351715, 267369, 398330, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[381597, 345833, 428212, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[248589, 343735, 295204, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[236413, 203387, 283028, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[290146, 101591, 336761, 148206]",1,"[69337, 9783, 474275, 219328]",309
"[117087, 205028, 163702, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[315939, 160703, 362554, 207318]",1,"[69337, 9783, 474275, 219328]",309
"[12781, 80708, 59396, 127323]",1,"[8117, 9783, 69337, 219328]",308
"[87296, 150394, 133911, 197009]",1,"[69337, 9783, 474275, 219328]",309
"[182919, 185070, 229534, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[422106, 200636, 468721, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[384817, 57246, 431432, 103861]",1,"[69337, 9783, 474275, 219328]",309
"[185460, 416755, 232075, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[333457, 26815, 380072, 73430]",1,"[69337, 9783, 474275, 219328]",309
"[29719, 149476, 76334, 196091]",0,"[8117, 9783, 474275, 219328]",617
"[94027, 86454, 140642, 133069]",1,"[69337, 9783, 474275, 219328]",309
"[314013, 159914, 360628, 206529]",1,"[69337, 9783, 474275, 219328]",309
"[197336, 215101, 243951, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[295680, 76086, 342295, 122701]",1,"[69337, 9783, 474275, 219328]",309
"[161946, 68355, 208561, 114970]",1,"[69337, 9783, 474275, 219328]",309
"[258760, 391120, 305375, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[133792, 33417, 180407, 80032]",1,"[69337, 9783, 474275, 219328]",309
"[169534, 102272, 216149, 148887]",1,"[69337, 9783, 474275, 219328]",309
"[282345, 390145, 328960, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[45269, 166803, 91884, 213418]",1,"[42574, 9783, 114520, 219328]",308
"[219493, 180356, 266108, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[164997, 225550, 211612, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[65081, 60231, 111696, 106846]",1,"[42574, 9783, 114520, 219328]",308
"[302153, 260389, 348768, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[256631, 184844, 303246, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[426432, 188289, 473047, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[73299, 259296, 119914, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[68938, 374906, 115553, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[269073, 231744, 315688, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[27947, 166401, 74562, 213016]",0,"[8117, 9783, 474275, 219328]",617
"[183796, 393338, 230411, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[368360, 89729, 414975, 136344]",1,"[69337, 9783, 474275, 219328]",309
"[95440, 336710, 142055, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[304070, 205024, 350685, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[343073, 53689, 389688, 100304]",1,"[69337, 9783, 474275, 219328]",309
"[42633, 52508, 89248, 99123]",1,"[42574, 9783, 114520, 219328]",308
"[111947, 401264, 158562, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[124015, 40180, 170630, 86795]",1,"[69337, 9783, 474275, 219328]",309
"[209869, 12233, 256484, 58848]",1,"[69337, 9783, 474275, 219328]",309
"[59537, 214585, 106152, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[299869, 280224, 346484, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[160066, 243283, 206681, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[264293, 421407, 310908, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[314767, 382671, 361382, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[364267, 122020, 410882, 168635]",1,"[69337, 9783, 474275, 219328]",309
"[229910, 51980, 276525, 98595]",1,"[69337, 9783, 474275, 219328]",309
"[201228, 123532, 247843, 170147]",1,"[69337, 9783, 474275, 219328]",309
"[144912, 314945, 191527, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[415541, 95453, 462156, 142068]",1,"[69337, 9783, 474275, 219328]",309
"[234201, 108751, 280816, 155366]",1,"[69337, 9783, 474275, 219328]",309
"[196084, 68416, 242699, 115031]",1,"[69337, 9783, 474275, 219328]",309
"[41596, 376169, 88211, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[22597, 283795, 69212, 219328]",1,"[8117, 9783, 69337, 219328]",308
"[244891, 402611, 291506, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[363018, 113859, 409633, 160474]",1,"[69337, 9783, 474275, 219328]",309
"[70460, 268733, 117075, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[216759, 142586, 263374, 189201]",1,"[69337, 9783, 474275, 219328]",309
"[116766, 344184, 163381, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[30190, 426201, 76805, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[121307, 334966, 167922, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[84848, 62973, 131463, 109588]",1,"[69337, 9783, 474275, 219328]",309
"[111910, 248454, 158525, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[206314, 197721, 252929, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[294583, 87459, 341198, 134074]",1,"[69337, 9783, 474275, 219328]",309
"[63034, 320718, 109649, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[263917, 85922, 310532, 132537]",1,"[69337, 9783, 474275, 219328]",309
"[303765, 220929, 350380, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[342803, 364595, 389418, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[230016, 281390, 276631, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[267852, 364275, 314467, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[177179, 269443, 223794, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[269551, 341073, 316166, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[359425, 114018, 406040, 160633]",1,"[69337, 9783, 474275, 219328]",309
"[292705, 327812, 339320, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[122817, 13205, 169432, 59820]",1,"[69337, 9783, 474275, 219328]",309
"[186490, 378051, 233105, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[399780, 174976, 446395, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[176845, 26712, 223460, 73327]",1,"[69337, 9783, 474275, 219328]",309
"[283424, 85903, 330039, 132518]",1,"[69337, 9783, 474275, 219328]",309
"[142797, 324045, 189412, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[419246, 89856, 465861, 136471]",1,"[69337, 9783, 474275, 219328]",309
"[206824, 313749, 253439, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[162458, 384624, 209073, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[378459, 254758, 425074, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[42908, 427518, 89523, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[52494, 278926, 99109, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[28782, 42905, 75397, 89520]",0,"[8117, 9783, 474275, 219328]",617
"[126129, 76533, 172744, 123148]",1,"[69337, 9783, 474275, 219328]",309
"[29419, 165638, 76034, 212253]",0,"[8117, 9783, 474275, 219328]",617
"[16130, 405998, 62745, 219328]",1,"[8117, 9783, 69337, 219328]",308
"[243306, 181443, 289921, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[92364, 86141, 138979, 132756]",1,"[69337, 9783, 474275, 219328]",309
"[352093, 249674, 398708, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[202796, 272882, 249411, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[208516, 285888, 255131, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[271534, 25742, 318149, 72357]",1,"[69337, 9783, 474275, 219328]",309
"[308991, 55642, 355606, 102257]",1,"[69337, 9783, 474275, 219328]",309
"[363883, 424477, 410498, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[279697, 405446, 326312, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[322764, 48150, 369379, 94765]",1,"[69337, 9783, 474275, 219328]",309
"[399741, 231655, 446356, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[403754, 116175, 450369, 162790]",1,"[69337, 9783, 474275, 219328]",309
"[159984, 288829, 206599, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[321963, 227185, 368578, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[260935, 422849, 307550, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[211839, 326585, 258454, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[315553, 130575, 362168, 177190]",1,"[69337, 9783, 474275, 219328]",309
"[426530, 18855, 473145, 65470]",1,"[69337, 9783, 474275, 219328]",309
"[352566, 9783, 399181, 54858]",1,"[69337, 9783, 474275, 219328]",309
"[396480, 103521, 443095, 150136]",1,"[69337, 9783, 474275, 219328]",309
"[166683, 273856, 213298, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[307100, 141527, 353715, 188142]",1,"[69337, 9783, 474275, 219328]",309
"[182540, 42521, 229155, 89136]",1,"[69337, 9783, 474275, 219328]",309
"[266858, 145484, 313473, 192099]",1,"[69337, 9783, 474275, 219328]",309
"[166873, 413119, 213488, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[222064, 209527, 268679, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[209275, 40758, 255890, 87373]",1,"[69337, 9783, 474275, 219328]",309
"[93992, 344177, 140607, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[74869, 133396, 121484, 180011]",1,"[69337, 9783, 474275, 219328]",309
"[158633, 390559, 205248, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[183242, 37229, 229857, 83844]",1,"[69337, 9783, 474275, 219328]",309
"[26956, 260472, 73571, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[227199, 81991, 273814, 128606]",1,"[69337, 9783, 474275, 219328]",309
"[265978, 323720, 312593, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[384130, 50909, 430745, 97524]",1,"[69337, 9783, 474275, 219328]",309
"[361247, 374435, 407862, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[87480, 193071, 134095, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[223672, 26561, 270287, 73176]",1,"[69337, 9783, 474275, 219328]",309
"[328861, 252581, 375476, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[210850, 248703, 257465, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[32775, 61322, 79390, 107937]",0,"[8117, 9783, 474275, 219328]",617
"[254998, 416090, 301613, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[87477, 18722, 134092, 65337]",1,"[69337, 9783, 474275, 219328]",309
"[25138, 321798, 71753, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[331812, 77691, 378427, 124306]",1,"[69337, 9783, 474275, 219328]",309
"[338400, 177939, 385015, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[63320, 375160, 109935, 219328]",1,"[42574, 9783, 114520, 219328]",308
"[296026, 348375, 342641, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[189870, 110339, 236485, 156954]",1,"[69337, 9783, 474275, 219328]",309
"[209136, 418853, 255751, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[415184, 415730, 461799, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[265185, 66311, 311800, 112926]",1,"[69337, 9783, 474275, 219328]",309
"[39658, 327995, 86273, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[375547, 253058, 422162, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[330203, 339630, 376818, 219328]",1,"[69337, 9783, 474275, 219328]",309
