SRC_random Query: Medium,Depth,BBoxes,Data Size
"[210096, 228617, 303327, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[29342, 143863, 122573, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[276172, 262883, 369403, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[220419, 167140, 313650, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[257991, 195837, 351222, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[313977, 122643, 407208, 215874]",1,"[69337, 9783, 474275, 219328]",309
"[272718, 81136, 365949, 174367]",1,"[69337, 9783, 474275, 219328]",309
"[155881, 81384, 249112, 174615]",1,"[69337, 9783, 474275, 219328]",309
"[57835, 332320, 151066, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[139454, 287333, 232685, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[377830, 323687, 471061, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[85167, 170723, 178398, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[59897, 46779, 153128, 140010]",0,"[8117, 9783, 474275, 219328]",617
"[366721, 181235, 459952, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[255655, 301620, 348886, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[60913, 193605, 154144, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[235748, 173895, 328979, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[328397, 343883, 421628, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[115322, 297798, 208553, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[258207, 240215, 351438, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[281456, 144689, 374687, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[40769, 295793, 134000, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[15478, 57018, 108709, 150249]",0,"[8117, 9783, 474275, 219328]",617
"[217215, 380494, 310446, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[358421, 335936, 451652, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[8716, 328927, 101947, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[266893, 182775, 360124, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[135996, 178617, 229227, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[377028, 41138, 470259, 134369]",1,"[69337, 9783, 474275, 219328]",309
"[108291, 305656, 201522, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[124353, 133220, 217584, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[82825, 292800, 176056, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[242982, 55940, 336213, 149171]",1,"[69337, 9783, 474275, 219328]",309
"[50293, 175917, 143524, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[274424, 264644, 367655, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[65294, 166161, 158525, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[297139, 160732, 390370, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[378558, 73553, 471789, 166784]",1,"[69337, 9783, 474275, 219328]",309
"[295133, 182574, 388364, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[291381, 114653, 384612, 207884]",1,"[69337, 9783, 474275, 219328]",309
"[324359, 295023, 417590, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[316197, 158932, 409428, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[241419, 56158, 334650, 149389]",1,"[69337, 9783, 474275, 219328]",309
"[320743, 209916, 413974, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[174340, 309923, 267571, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[135050, 160333, 228281, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[104517, 107412, 197748, 200643]",1,"[69337, 9783, 474275, 219328]",309
"[106017, 25404, 199248, 118635]",1,"[69337, 9783, 474275, 219328]",309
"[329386, 352395, 422617, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[144461, 257956, 237692, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[44337, 55210, 137568, 148441]",0,"[8117, 9783, 474275, 219328]",617
"[363963, 76392, 457194, 169623]",1,"[69337, 9783, 474275, 219328]",309
"[86524, 28376, 179755, 121607]",1,"[69337, 9783, 474275, 219328]",309
"[50190, 374763, 143421, 219328]",0,"[8117, 9783, 474275, 219328]",617
"[291547, 366467, 384778, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[213268, 377888, 306499, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[283144, 152628, 376375, 219328]",1,"[69337, 9783, 474275, 219328]",309
"[281685, 131587, 374916, 219328]",1,"[69337, 9783, 474275, 219328]",309
