BRC Query: Large,Points,Num Of Points
"[14637, 248216, 154484, 219328]",[],0
"[49574, 184234, 189421, 219328]",[],0
"[32075, 293497, 171922, 219328]",[],0
"[155380, 78810, 295227, 218657]","[(182621, 142145), (249218, 208706)]",2
"[134014, 260733, 273861, 219328]",[],0
"[192784, 328003, 332631, 219328]",[],0
"[159047, 196441, 298894, 219328]","[(249218, 208706), (243245, 219327)]",2
"[317592, 333740, 457439, 219328]",[],0
"[77503, 170802, 217350, 219328]",[],0
"[211549, 225391, 351396, 219328]",[],0
"[50439, 9783, 190286, 148763]","[(50447, 9783), (50526, 9783), (51010, 9783), (51086, 9783), (51087, 9783), (51629, 9783), (52116, 9783), (52622, 9783), (52858, 9783), (52935, 9783), (53127, 9783), (53579, 9783), (54494, 9783), (54758, 9783), (54812, 9783), (54908, 9783), (55395, 9783), (55583, 9783), (55789, 9783), (55920, 9783), (56158, 9783), (56339, 9783), (56424, 9783), (56656, 9783), (57205, 9783), (57375, 9783), (57612, 9783), (57704, 9783), (57725, 9783), (57806, 9783), (58277, 9783), (58872, 9783), (59402, 9783), (60352, 9783), (60964, 9783), (61077, 9783), (61602, 9783), (61809, 9783), (61843, 9783), (62117, 9783), (62215, 9783), (62561, 9783), (62623, 9783), (62762, 9783), (62822, 9783), (63037, 9783), (63286, 9783), (63412, 9783), (63461, 9783), (63503, 9783), (63996, 9783), (64543, 9783), (64648, 9783), (64896, 9783), (65102, 9783), (65894, 9783), (66131, 9783), (66186, 9783), (66645, 9783), (67084, 9783), (67141, 9783), (67704, 9783), (67775, 9783), (67852, 9783), (68206, 9783), (68756, 9783), (68834, 9783), (69069, 9783), (68109, 10266), (53242, 10360), (53466, 10375), (64792, 10612), (58284, 10957), (57527, 11497), (53606, 11796), (51395, 11836), (57909, 12464), (69011, 12465), (52402, 12568), (57957, 12989), (65784, 13357), (67034, 13769), (53917, 14664), (65308, 14734), (51493, 15564), (54829, 15900), (51223, 16726), (63498, 17671), (63107, 18050), (53682, 18069), (50668, 19879), (64482, 19940), (54163, 20267), (55449, 20430), (53426, 21070), (60166, 21389), (58014, 21689), (60551, 27192), (53468, 27679), (59032, 35658), (50806, 40774), (59458, 97155), (69337, 9783), (69793, 9783), (70283, 9783), (70423, 9783), (70521, 9783), (70588, 9783), (70680, 9783), (71018, 9783), (71804, 9783), (72475, 9783), (72493, 9783), (72525, 9783), (72684, 9783), (72699, 9783), (72826, 9783), (72867, 9783), (72940, 9783), (73557, 9783), (73725, 9783), (74123, 9783), (74949, 9783), (75337, 9783), (76019, 9783), (76099, 9783), (77001, 9783), (77198, 9783), (77218, 9783), (77882, 9783), (78741, 9783), (79216, 9783), (79340, 9783), (79684, 9783), (80674, 9783), (80751, 9783), (81868, 9783), (82333, 9783), (82547, 9783), (82942, 9783), (83102, 9783), (83416, 9783), (83728, 9783), (84309, 9783), (84650, 9783), (85589, 9783), (85950, 9783), (86007, 9783), (86912, 9783), (88087, 9783), (88621, 9783), (89116, 9783), (90429, 9783), (90924, 9783), (91406, 9783), (91856, 9783), (92218, 9783), (92609, 9783), (92640, 9783), (93593, 9783), (93783, 9783), (93961, 9783), (94390, 9783), (94602, 9783), (95340, 9783), (95385, 9783), (96416, 9783), (96966, 9783), (98024, 9783), (98327, 9783), (98408, 9783), (100278, 9783), (101493, 9783), (101814, 9783), (102629, 9783), (104677, 9783), (104703, 9783), (105545, 9783), (105570, 9783), (106663, 9783), (107478, 9783), (108346, 9783), (108732, 9783), (108986, 9783), (109213, 9783), (109573, 9783), (110921, 9783), (111164, 9783), (111242, 9783), (112677, 9783), (112976, 9783), (113246, 9783), (114372, 9783), (114520, 9783), (116220, 9783), (116287, 9783), (116488, 9783), (117484, 9783), (121931, 9783), (122165, 9783), (122167, 9783), (122208, 9783), (122416, 9783), (124097, 9783), (124858, 9783), (124923, 9783), (124927, 9783), (125770, 9783), (128325, 9783), (128327, 9783), (128789, 9783), (128817, 9783), (128824, 9783), (130064, 9783), (130097, 9783), (130955, 9783), (131043, 9783), (131366, 9783), (131661, 9783), (132054, 9783), (132210, 9783), (132577, 9783), (133429, 9783), (133609, 9783), (134752, 9783), (135339, 9783), (136248, 9783), (139599, 9783), (140019, 9783), (140329, 9783), (142342, 9783), (143901, 9783), (144911, 9783), (145861, 9783), (146478, 9783), (148084, 9783), (150098, 9783), (151150, 9783), (154464, 9783), (154911, 9783), (157902, 9783), (164328, 9783), (164539, 9783), (166991, 9783), (170262, 9783), (173186, 9783), (173951, 9783), (174921, 9783), (177495, 9783), (181053, 9783), (187887, 9783), (188015, 9783), (109659, 10073), (97397, 10118), (117247, 10175), (74579, 10307), (164153, 10413), (75032, 10463), (101228, 10532), (72294, 10541), (157004, 10618), (139551, 10641), (146929, 10643), (69452, 10773), (82564, 10832), (70242, 10839), (93565, 10870), (147676, 10916), (147078, 10944), (159341, 11095), (134002, 11278), (156028, 11367), (100745, 11476), (85483, 11574), (128706, 11613), (143615, 11672), (122199, 12087), (105003, 12340), (150853, 12820), (96432, 13026), (94047, 13060), (70802, 13078), (92728, 13196), (129316, 13429), (137355, 13489), (116696, 13511), (132304, 13523), (104767, 13542), (158074, 13700), (139379, 14023), (115607, 14151), (80255, 14211), (69969, 14216), (95698, 14228), (113212, 14272), (88748, 14276), (181926, 14472), (108221, 14539), (168299, 14657), (81522, 14734), (113997, 14770), (84540, 14828), (83357, 14829), (89325, 14834), (78971, 14940), (81807, 15030), (88006, 15197), (171536, 15407), (125111, 15411), (125429, 15748), (80282, 15888), (79695, 15889), (164496, 15993), (76820, 16004), (117428, 16207), (91779, 16340), (114056, 16475), (84227, 16516), (130706, 16530), (109712, 16598), (138819, 16651), (75988, 16684), (82405, 16839), (70320, 17096), (144008, 17433), (101506, 17559), (128703, 17618), (78083, 18380), (150585, 18421), (97661, 18559), (141934, 18755), (108072, 19082), (78438, 19163), (98057, 19225), (148995, 19294), (89429, 19819), (155423, 20233), (77898, 21019), (165683, 22519), (73225, 23191), (93859, 24177), (73683, 24778), (85915, 25965), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750), (72803, 67715), (182621, 142145)]",355
"[319846, 108942, 459693, 219328]",[],0
"[183439, 92044, 323286, 219328]","[(249218, 208706), (243245, 219327)]",2
"[133639, 125084, 273486, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[243068, 206637, 382915, 219328]","[(249218, 208706), (243245, 219327)]",2
"[305991, 225385, 445838, 219328]",[],0
"[24655, 219020, 164502, 219328]",[],0
"[305635, 227388, 445482, 219328]",[],0
"[32643, 94978, 172490, 219328]","[(59458, 97155)]",1
"[241609, 41611, 381456, 181458]",[],0
"[144026, 90790, 283873, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[242140, 284717, 381987, 219328]",[],0
"[263584, 302454, 403431, 219328]",[],0
"[324775, 9783, 464622, 148000]","[(355045, 9783), (364501, 9783), (367671, 9783), (370147, 9783), (403477, 9783), (443074, 12940), (358657, 15258), (337473, 17444), (462771, 37243)]",9
"[28517, 267420, 168364, 219328]",[],0
"[179005, 171725, 318852, 219328]","[(249218, 208706), (243245, 219327)]",2
"[252902, 34256, 392749, 174103]",[],0
"[225768, 106683, 365615, 219328]","[(249218, 208706), (243245, 219327)]",2
"[295721, 51877, 435568, 191724]",[],0
"[76547, 15839, 216394, 155686]","[(80282, 15888), (79695, 15889), (164496, 15993), (76820, 16004), (117428, 16207), (91779, 16340), (114056, 16475), (84227, 16516), (130706, 16530), (109712, 16598), (138819, 16651), (82405, 16839), (144008, 17433), (101506, 17559), (128703, 17618), (194547, 17907), (78083, 18380), (150585, 18421), (97661, 18559), (141934, 18755), (108072, 19082), (78438, 19163), (98057, 19225), (148995, 19294), (89429, 19819), (155423, 20233), (77898, 21019), (165683, 22519), (93859, 24177), (85915, 25965), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750), (200563, 62770), (182621, 142145)]",42
"[218784, 226999, 358631, 219328]",[],0
"[173884, 9895, 313731, 149742]","[(192522, 10541), (298492, 10704), (250207, 11064), (191871, 11154), (205048, 11389), (298475, 11417), (193616, 12009), (279774, 12055), (217026, 12784), (208038, 13601), (219818, 13637), (250983, 13907), (286201, 14322), (181926, 14472), (221990, 14496), (244062, 15465), (229026, 16672), (232460, 17215), (194547, 17907), (277400, 19941), (306553, 24096), (260858, 24535), (181333, 62750), (200563, 62770), (182621, 142145)]",25
"[120065, 15609, 259912, 155456]","[(125429, 15748), (164496, 15993), (130706, 16530), (138819, 16651), (229026, 16672), (232460, 17215), (144008, 17433), (128703, 17618), (194547, 17907), (150585, 18421), (141934, 18755), (148995, 19294), (155423, 20233), (165683, 22519), (145935, 34939), (181333, 62750), (200563, 62770), (182621, 142145)]",18
"[9353, 285122, 149200, 219328]",[],0
"[329013, 59384, 468860, 199231]",[],0
"[107972, 70456, 247819, 210303]","[(182621, 142145)]",1
"[327072, 112196, 466919, 219328]",[],0
"[166670, 154908, 306517, 219328]","[(249218, 208706), (243245, 219327)]",2
"[103653, 60640, 243500, 200487]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[257471, 216100, 397318, 219328]",[],0
"[50765, 19570, 190612, 159417]","[(64482, 19940), (54163, 20267), (55449, 20430), (53426, 21070), (60166, 21389), (58014, 21689), (60551, 27192), (53468, 27679), (59032, 35658), (50806, 40774), (59458, 97155), (89429, 19819), (155423, 20233), (77898, 21019), (165683, 22519), (73225, 23191), (93859, 24177), (73683, 24778), (85915, 25965), (111501, 26612), (91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (181333, 62750), (72803, 67715), (182621, 142145)]",31
"[152146, 245608, 291993, 219328]",[],0
"[68818, 142590, 208665, 219328]",[],0
"[78067, 281200, 217914, 219328]",[],0
"[190072, 68467, 329919, 208314]",[],0
"[89088, 154083, 228935, 219328]",[],0
"[17855, 30293, 157702, 170140]","[(59032, 35658), (42096, 38413), (50806, 40774), (45785, 56718), (37985, 59118), (59458, 97155), (91686, 32602), (98740, 33456), (105291, 33531), (145935, 34939), (110575, 36221), (97885, 36791), (103123, 45841), (97257, 47150), (72803, 67715)]",15
"[29436, 115981, 169283, 219328]",[],0
"[144258, 300856, 284105, 219328]",[],0
"[173117, 200475, 312964, 219328]","[(249218, 208706), (243245, 219327)]",2
"[305633, 30139, 445480, 169986]",[],0
"[326672, 267369, 466519, 219328]",[],0
"[248589, 236413, 388436, 219328]",[],0
"[203387, 290146, 343234, 219328]",[],0
"[101591, 117087, 241438, 219328]","[(182621, 142145)]",1
"[205028, 315939, 344875, 219328]",[],0
"[160703, 12781, 300550, 152628]","[(217026, 12784), (208038, 13601), (219818, 13637), (250983, 13907), (286201, 14322), (181926, 14472), (221990, 14496), (168299, 14657), (171536, 15407), (244062, 15465), (164496, 15993), (229026, 16672), (232460, 17215), (194547, 17907), (277400, 19941), (165683, 22519), (260858, 24535), (181333, 62750), (200563, 62770), (182621, 142145)]",20
"[80708, 87296, 220555, 219328]","[(182621, 142145)]",1
"[150394, 182919, 290241, 219328]","[(249218, 208706), (243245, 219327)]",2
"[185070, 200636, 324917, 219328]","[(249218, 208706), (243245, 219327)]",2
"[57246, 185460, 197093, 219328]",[],0
"[333457, 26815, 473304, 166662]","[(462771, 37243)]",1
"[29719, 149476, 169566, 219328]",[],0
"[94027, 86454, 233874, 219328]","[(182621, 142145)]",1
"[314013, 159914, 453860, 219328]",[],0
"[197336, 215101, 337183, 219328]","[(243245, 219327)]",1
"[295680, 76086, 435527, 215933]",[],0
"[161946, 68355, 301793, 208202]","[(182621, 142145)]",1
"[258760, 133792, 398607, 219328]",[],0
"[33417, 169534, 173264, 219328]",[],0
"[102272, 282345, 242119, 219328]",[],0
"[45269, 166803, 185116, 219328]",[],0
"[219493, 180356, 359340, 219328]","[(249218, 208706), (243245, 219327)]",2
"[164997, 225550, 304844, 219328]",[],0
"[65081, 60231, 204928, 200078]","[(181333, 62750), (200563, 62770), (72803, 67715), (182621, 142145)]",4
"[302153, 260389, 442000, 219328]",[],0
"[256631, 184844, 396478, 219328]",[],0
"[188289, 73299, 328136, 213146]","[(249218, 208706)]",1
"[259296, 68938, 399143, 208785]",[],0
"[269073, 231744, 408920, 219328]",[],0
"[27947, 166401, 167794, 219328]",[],0
"[183796, 89729, 323643, 219328]","[(249218, 208706), (243245, 219327)]",2
"[95440, 304070, 235287, 219328]",[],0
"[205024, 53689, 344871, 193536]",[],0
"[42633, 52508, 182480, 192355]","[(45785, 56718), (59458, 97155), (181333, 62750), (72803, 67715)]",4
"[111947, 124015, 251794, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[40180, 209869, 180027, 219328]",[],0
"[12233, 59537, 152080, 199384]","[(59458, 97155), (72803, 67715)]",2
"[214585, 299869, 354432, 219328]",[],0
"[280224, 160066, 420071, 219328]",[],0
"[243283, 264293, 383130, 219328]",[],0
"[314767, 122020, 454614, 219328]",[],0
"[229910, 51980, 369757, 191827]",[],0
"[201228, 123532, 341075, 219328]","[(249218, 208706), (243245, 219327)]",2
"[144912, 314945, 284759, 219328]",[],0
"[95453, 234201, 235300, 219328]",[],0
"[108751, 196084, 248598, 219328]","[(243245, 219327)]",1
"[68416, 41596, 208263, 181443]","[(103123, 45841), (97257, 47150), (181333, 62750), (200563, 62770), (72803, 67715), (182621, 142145)]",6
"[22597, 283795, 162444, 219328]",[],0
"[244891, 113859, 384738, 219328]","[(249218, 208706)]",1
"[70460, 268733, 210307, 219328]",[],0
"[216759, 142586, 356606, 219328]","[(249218, 208706), (243245, 219327)]",2
"[116766, 30190, 256613, 170037]","[(145935, 34939), (181333, 62750), (200563, 62770), (182621, 142145)]",4
"[121307, 84848, 261154, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[62973, 111910, 202820, 219328]","[(182621, 142145)]",1
"[248454, 206314, 388301, 219328]","[(249218, 208706)]",1
"[197721, 294583, 337568, 219328]",[],0
"[87459, 63034, 227306, 202881]","[(182621, 142145)]",1
"[320718, 263917, 460565, 219328]",[],0
"[85922, 303765, 225769, 219328]",[],0
"[220929, 230016, 360776, 219328]",[],0
"[281390, 267852, 421237, 219328]",[],0
"[177179, 269443, 317026, 219328]",[],0
"[269551, 114018, 409398, 219328]",[],0
"[292705, 327812, 432552, 219328]",[],0
"[122817, 13205, 262664, 153052]","[(129316, 13429), (137355, 13489), (132304, 13523), (208038, 13601), (219818, 13637), (158074, 13700), (250983, 13907), (139379, 14023), (181926, 14472), (221990, 14496), (168299, 14657), (171536, 15407), (125111, 15411), (244062, 15465), (125429, 15748), (164496, 15993), (130706, 16530), (138819, 16651), (229026, 16672), (232460, 17215), (144008, 17433), (128703, 17618), (194547, 17907), (150585, 18421), (141934, 18755), (148995, 19294), (155423, 20233), (165683, 22519), (260858, 24535), (145935, 34939), (181333, 62750), (200563, 62770), (182621, 142145)]",33
"[186490, 174976, 326337, 219328]","[(249218, 208706), (243245, 219327)]",2
"[176845, 26712, 316692, 166559]","[(181333, 62750), (200563, 62770), (182621, 142145)]",3
"[283424, 85903, 423271, 219328]",[],0
"[142797, 324045, 282644, 219328]",[],0
"[89856, 206824, 229703, 219328]",[],0
"[313749, 162458, 453596, 219328]",[],0
"[254758, 42908, 394605, 182755]",[],0
"[52494, 278926, 192341, 219328]",[],0
"[28782, 42905, 168629, 182752]","[(45785, 56718), (37985, 59118), (59458, 97155), (103123, 45841), (97257, 47150), (72803, 67715)]",6
"[126129, 76533, 265976, 216380]","[(182621, 142145), (249218, 208706)]",2
"[29419, 165638, 169266, 219328]",[],0
"[16130, 243306, 155977, 219328]",[],0
"[181443, 92364, 321290, 219328]","[(182621, 142145), (249218, 208706), (243245, 219327)]",3
"[86141, 249674, 225988, 219328]",[],0
"[202796, 272882, 342643, 219328]",[],0
"[208516, 285888, 348363, 219328]",[],0
"[271534, 25742, 411381, 165589]",[],0
"[308991, 55642, 448838, 195489]",[],0
"[279697, 322764, 419544, 219328]",[],0
"[48150, 231655, 187997, 219328]",[],0
"[116175, 159984, 256022, 219328]","[(249218, 208706), (243245, 219327)]",2
"[288829, 321963, 428676, 219328]",[],0
"[227185, 260935, 367032, 219328]",[],0
"[211839, 326585, 351686, 219328]",[],0
"[315553, 130575, 455400, 219328]",[],0
